"uuid","repository link","title","author","contributor","publication year","abstract","subject topic","language","publication type","publisher","isbn","issn","patent","patent status","bibliographic note","access restriction","embargo date","faculty","department","research group","programme","project","coordinates"
"uuid:56f6d1de-7ad0-4796-b81c-8c0be9c2ace8","http://resolver.tudelft.nl/uuid:56f6d1de-7ad0-4796-b81c-8c0be9c2ace8","Vulnerability of structural transitions in flood defences: Erosion of grass covers due to wave overtopping","Pijpers, R.","Jonkman, S.N. (mentor); Dijkstra, J. (mentor); Van Hoven, A. (mentor); Verheij, H.J. (mentor); Voorendt, M.Z. (mentor)","2013","Hardly any flood defence system is a continuous dike system, since it is often interrupted by non-water retaining structures, as for example stairs, buildings, roads, fences and trees. Also larger hydraulic structures as floodgates and sluices are sometimes situated in the dike alignment. The transition between these different objects and the dikes with grass covers is still an area that receives limited attention in current methods for design and safety assessment in the Netherlands and other countries. The problem at hand is that during flood disasters in New Orleans, Thailand and France, these transitions appeared to be vulnerable spots in the flood defence system. The erosion process of the grass cover developed fast around objects or structures which were placed on the inner slope and suffered from wave overtopping. The objective of this thesis is to gain insight into the vulnerability of transitions between dikes with grass covers and (non-)water retaining objects during overtopping of flood defences. This is achieved by testing the applicability of current erosion models for the structural transition zone. The defined erosion models are separated in a load and strength side, which are expanded with a load and strength parameter to define the influence of an object on the inner dike slope. For the impact zone of the wave is chosen for two models that use the pressure load of the wave as input, because the velocity is (nearly) zero at this point. In the zone next to the object or structure is chosen for a flow erosion model, because the velocity is assumed to be an important mechanism to initiate erosion. Numerical analyses are performed on the load side of the erosion process by the program ComFLOW. This model should determine the pressures and velocities that occur around an object. This is validated with a field experiment that used a similar set-up. It appears the model calculates the velocities on the slope accurately, but due to the lack of friction in the model this velocity accelerates too much on the transition between the slope and the horizontal part. However, it does show that the velocity next to the object has no peak acceleration, like was expected. Therefore the assumption that a velocity difference influences the load on the grass cover next to an object seems not plausible. For the field experiment with the overtopping simulator, two pressure gauges were installed in the impact zone in front of the object and on the slope. These showed with respect to measurements on the slope, besides a difference in the hydrostatic pressures, a large difference in the dynamic pressures. Conclusions with respect to the actual erosion around the object could not be drawn, because due to gaps in the soil in front of the object; this area was filled with concrete. The numerical modelling and field experiments led to erosion models for zone A and B, including the load and strength parameters for the influence of a structure. As a first validation of these models, the field experiment at the Vechtdijk is used. This experiment consisted of a slope with a tree close to the toe. For the erosion in the wave impact zone, it appeared the model predicted the time needed to reach the different erosion states quite well. However, the grass quality was assumed as average, which was not investigated during the experiment.","Grass erosion; Wave overtopping; Structural transition; Flood defence","en","master thesis","","","","","","","","","Civil Engineering and Geosciences","Hydraulic Engineering","","","",""
"uuid:faf339a8-9c58-4b62-8093-369ba248c034","http://resolver.tudelft.nl/uuid:faf339a8-9c58-4b62-8093-369ba248c034","Remarks on learning hybrid Bayesian networks from data for medical research","Bookholt, F.D.","Hanea, A.M. (mentor); Van der Meulen, F.H. (mentor); Vuik, C. (mentor); Spandaw, J.G. (mentor)","2013","In this thesis, we learn the structure of a hybrid Bayesian network (mixed continuous and discrete) for a small data set and learn the parameters. We segment the learning process in distinct steps and evaluate the possible options for each step. After a short introduction into the theory of Bayesian networks, we cover the topics: data preparation, algorithms, discretizing, tests for conditional independence, subnetworks, node ordering, directing arcs and learning parameters in sparse tables. After agreeing on a final quantified network, we compare our results to other networks modeling the same data and draw some conclusions about risk factors for and prediction op diabetes. The main conclusion is that learning hybrid Bayesian networks from a small data set is hard and requires much input from the modeler. Problems arise especially when testing for conditional independence in sparse frequency tables. Possible solutions are using different conditional independence tests, dividing the network into subnetworks, use a coarser discretization of the data and possible other options that we did not evaluate. The best option depends strongly on the data set you are working with, and a tailored solution must be made for each case.","Hybrid Bayesian networks; Hoorn diabetes study; test for conditional independence; PC algorithm; BNT SLP; BNT; custom discretization; modeling choices; small data sets; structure learning","en","bachelor thesis","","","","","","","","2013-05-05","Electrical Engineering, Mathematics and Computer Science","Applied mathematics","","Applied Probability","",""
"uuid:06032b3f-8f84-416a-86f4-d420b5785be2","http://resolver.tudelft.nl/uuid:06032b3f-8f84-416a-86f4-d420b5785be2","Towards Continuous Improvement based on Management Execution Systems: The human side of Information Technology","Valk, L.J.","Lukzo, Z. (mentor); Warmelink, H.J.G. (mentor)","2013","Management Execution Systems (MES) are implemented to increase the efficiency of industrial production plants. This research investigates, based on experiences at Coca-Cola Enterprises (CCE) and a desk research, how success factors can be framed in order to ensure a successful MES implementation. This resulted in a framework for successful MES contribution to an Operational Excellence strategy, which is then applied to the environmental department of CCE, resulting in recommendations to improve the water and energy efficiency in the plant Dongen based on MES.","Management Execution System; Success Factors; Operational Excellence; Energy and water efficiency","en","master thesis","","","","","","","","2013-05-31","Technology, Policy and Management","Energy & Infrastructure","","System Engineering, Policy Analysis, and Management","",""
"uuid:14523cdc-302e-49c2-bf0f-5062fedecf99","http://resolver.tudelft.nl/uuid:14523cdc-302e-49c2-bf0f-5062fedecf99","Visualizing Multiple Two-Dimensional Fields of Data in a Single Image","Van Egmond, C.C.","Botha, C.P. (mentor); Wuensche, B.C. (mentor); Eisemann, E. (mentor); Bozzon, A. (mentor)","2013","With advancemens in scientific measurement instruments and simulation tech- niques come increasingly complex and in many cases multivariate data. The devel- opment and improvement of techniques that are able to convey as much information as possible from this data to scientists, doctors, and other potential users is an important research topic in the field of scientific visualization. This thesis contributes a new automated approach to the visualization of multiple two-dimensional, spatial data fields in a single image. We introduce a new generative formal grammar called texture grammar that combines implementations of existing visualization techniques and image compositing techniques to automatically produce visualizations, depending on the input fields. The image compositing techniques are perceptually motivated, and we evaluated their effectiveness with a user study. The resulting visualizations capture important characteristics of all input fields, as well as relations between the fields. An added benefit of this method is the reduction of user interaction, since a larger amount of data can be perceived at once.","data visualization; multi-field visualization; flow visualization; formal grammar; texture grammar","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Computer Graphics and Visualization","","Computer Science","",""
"uuid:d7b909a7-e3db-4e31-a9ae-95c8cd405257","http://resolver.tudelft.nl/uuid:d7b909a7-e3db-4e31-a9ae-95c8cd405257","Implementation of a new bathing practice - Embodiment design for a new bathing product","Henny, F.L.","Van Eijk, D.J. (mentor); Kuijer, L. (mentor)","2013","This graduation project was focussed on further development of a new bathing practice, more precisely, a product embodiment that facilitates bathing practices. It comprises of a height-adjustable washbasin fixed to a wall-mounted unit. A heating appliance has been integrated into the product as to increase the comfort for users and to make the product into a viable alternative for existing bathing products such as showers. Saving energy and water in a way comfortable to the user was the main focus. Development of a prototype platform was one of the main results of the project, together with a design proposal.","bathing; practice; splash; shower","en","master thesis","","","","","","","Campus only","","Industrial Design Engineering","Industrial Design","","Studiolab","",""
"uuid:6415ebb1-0710-4176-b6b8-40cdc4880765","http://resolver.tudelft.nl/uuid:6415ebb1-0710-4176-b6b8-40cdc4880765","Verkeersveiligheidsanalyse Groot-Paramaribo","Mohan, V.K.","","2013","Motivation and background Due to the growing number of road traffic victims in Suriname, this topic is recently discussed extensively and placed high on the political agenda there. Compared to the Netherlands, the traffic in Suriname is approximately five times less safe. Some figures of traffic safety in Suriname show that the situation is concerning. In 2010 the total amount of people demanding emergency help at the AZP due to traffic accidents was 5016. Compared with statistics from 2008, this number has increased with 35%, as in 2008 the quantity was 3697 people. Looking at the number of fatalities in 2003, the number was 62 and in 2010 it was 87, showing an increase of over 40% in eight years. This means an average increase of the number of deaths by about 5% per year in that period. When only the statistics of fatalities are taken into account, it is clear that the number of fatalities in 2003 (62 deaths) compared to 2007 (90 deaths) shows an increasing trend. In 2009 there was a peak of 112 fatalities, followed by a decrease to 87 deaths in 2010. Until 2012 it remained steady with 86 deaths in 2011 and 83 in 2012. From these figures, an upward trend can be observed for the number of road accidents and fatalities in Suriname. Road accidents are tragic events that often cause untold human suffering. In addition, every death is one too many. Traffic and road safety are important for the Surinamese and in particular road safety remains a ""hot issue"" in Suriname. Research scope This research focuses on the urban agglomeration Greater Paramaribo, which is assumed the districts of Paramaribo and the adjacent Wanica. Due to the realization of the bridge across the Suriname river, the urban area within the range of Paramaribo is enlarged to the western part of the district of Commewijne. Due to the low number of deaths (5 in 2010) in Commewijne that part is not included in the geographical demarcation of this research. Chapter 3 of this study emphasizes further on the geographical demarcation. Regarding traffic types, this research focuses on the road traffic of Greater Paramaribo. Road traffic is divided into two types: motorized traffic (cars, motorcycles, mopeds) and non-motorized traffic (pedestrians and cyclists). Given the scope of this study, the design measures are primarily focused on infrastructural aspects. Besides this, guidelines for possible generic measures are presented, such as in the area of enforcement and education. The degree of traffic safety can be expressed in many different ways. Direct variables that can be used to measure traffic accidents are the number of accidents or divided in terms of the number of fatalities or the number of victims with varying degrees of severity. In this study, the severity of the accident in terms of the number of fatalities is chosen as an indicator for traffic safety. In Greater Paramaribo, only the number of fatalities is registered and published by the authorities. Problem Definition The following problem definition has been formulated in this study: In the current situation many traffic accidents occurs in Greater Paramaribo. The traffic safety on the road network in Greater Paramaribo is insufficient. This research project has the following objective: Analyzing the traffic safety situation and providing recommendations for improving the current and future traffic safety situation in Greater Paramaribo. The main research question: What steps can be taken to improve traffic safety in Greater Paramaribo? To answer the research question, several sub-questions are derived. The answers to these sub questions should lead to the answer of the main research question. Each sub question is linked with a phase (Analysis, Synthesis, Evaluation) of the chosen basic design methodology for this research. Used methods and techniques To answer the mentioned sub-questions, different methods and techniques are used: Literature study: A literature review is conducted to create theoretical basis of this research. The main advantage of this method is that much information can be gathered fast, which can be used to analyze the traffic safety situation in Greater Paramaribo. Document review: This research technique is used for the literature review, by consulting existing sources (secondary research). The sources consist of databases, archives and libraries. For example, data from a previous study is used to compare own collected data on traffic accident locations in Greater Paramaribo. Case Study: This method is used to identify and study the underlying causes of traffic accidents. Two techniques are used: the research paper (secondary research) and observations. By performing detailed observations on different locations, insight is gathered in the way certain situations occurred in practice due to infrastructural factors. Observations: This technique of data generation is used to investigate traffic conditions, road users and infrastructural concerns on site (called black spot roads). Therefore a list of infrastructural issues related to traffic safety is used as an observation schedule, road and intersection data is gathered and traffic situation sketches are made. Interviews: This technique is especially used to analyze the current policy on traffic safety. The number of people that is interviewed for this research is limited to the main actors that are involved in the traffic safety policy of Greater Paramaribo. Analysis: In this study, the black spot approach is used. The important steps in this approach are: 1. Analysis of accident statistics and identification of unsafe traffic locations (area where many accidents occur). 2. Analysis for searching patterns and commonalities of accidents at the sites identified, with the aim of determining 'why' the accident occurred. 3. The determination of measures (often infrastructural improvements) on basis of the analysis step. In this ""reactive"" approach, the unsafety at the dangerous locations with the most accidents is tackled. Conclusions The answers to the sub-questions are presented below, as a result of various research methods and techniques that have been applied. A1: What are the main factors that affect traffic safety and how can they be improved? In general there are three group of factors which affect traffic safety. These factors are related to human, vehicle and physical environment. These factors can be improved by: reducing the risk of exposure, by reducing the risk accident rate and by reducing the accident severity. The basic philosophy in improving road safety is by working simultaneously on different areas on the improvement of road safety. These areas are traditionally called the three E's (Education, Engineering, Enforcement), and should strengthen each other in order to provide good results. A systematic approach is needed there fore. A2: What is the current traffic safety situation in Greater Paramaribo? The analysis of accident statistics shows that there are more male (80%) than female (20%) fatalities in Greater Paramaribo. It can be assumed that men have a higher risk of being involved in traffic accidents and a higher chance to get killed due to these accidents. In the age group 21-40 years, most traffic victims occur, which is a fact for both male and female victims. This means that in Greater Paramaribo young people have a higher risk of dying due to a road accident. When looking at the type of victim, it can be noticed that the largest group of victims in Greater Paramaribo are mopeds (40%), followed by pedestrians (25%) and car drivers (20%). The increasing popularity of this vehicle (mopeds) in Greater Paramaribo, especially among young people, is problematic. Accidents by these road users are mostly caused by fast driving and other road users often not providing enough priority to the mopeds. The percentage of victims of cyclists is 9.70% and that of higher category cars (busses and trucks) is 3.73%. The road users in Greater Paramaribo which have the most risk of getting involved in traffic accidents are the so called slow traffic users (mopeds, cyclists and pedestrians). This group has a higher risk to die due to a traffic accident. If we look at the type of collision that mainly occurs in Greater Paramaribo, it can be noticed that the majority (35%) of collisions occur between cars (motorists) and mopeds. Secondly these collisions occur between pedestrians and cars (20%) and thirdly (18%) are single-vehicle accidents (mopeds excluded). The percentage of accidents between cyclist and cars is 8.96%, moped- moped accidents is 5.22%, car-car accidents is 7.46% and the last type is between pedestrians and mopeds with a percentage of 4,48%. The fact that there are a limited number of unilateral moped accidents (moped-moped) with fatalities may suggest that these road users exceed the allowed maximum speed, or die due to collusion with obstacles on and around the roads. In accidents involving several road users, mostly car drivers are the counterparty. If the counterparties of these car drivers are being grouped; it shows that 70% are car drivers. This indicates that between slow and fast traffic users, main problems causing traffic collisions exist implicating that measures must be related to infrastructural factors. As most fatalities in Greater Paramaribo take place between these groups, the focus in preventing accidents lies on the group moped riders, cyclists and pedestrians. Environmental factors that may affect traffic accidents based on analysis of statistics: For each weather season, the occurred type of collusions is analyzed in order to identify possible causes for traffic accidents influenced by environmental factors. The aim was to investigate whether environmental factors such as moisture or water on the road surface causes traffic accidents. Analysis shows that most of the moped-car accidents occur in the rainy season, which is also applicable to the pedestrian and cyclist accidents. Causes of traffic accidents due to environmental factors:  Poor or absent drainage facilities on the road, leading rainwater to remain longer on the road.  Bad visibility for vulnerable users through the raindrops.  Remaining rainwater on the road causing users to avoid this and using the space (pavement) of the faster road users like cars.  Poor road conditions (potholes), which are filled with water and form a risk for two wheelers when riding into them, resulting to lose control of their vehicle.  Sidewalks for pedestrians often get flooded, which can cause them to fall down or to use the road instead These conditions create a traffic hazard situation which can result to an accident involving vulnerable road users. A3: Which actors are involved within the scope of this research and what are their interests? The main stakeholders are the Ministry of Public Works (OW) in terms of infrastructure related issues and the Traffic Police (VP) regarding enforcement related issues. OW and VP are the actors which can influence the traffic safety policy of Greater Paramaribo. All the other involved actors have the same interest, which is to improve the current traffic safety situation of Greater Paramaribo. A4: What criteria can be used for the implementation of measures? The analysis shows that the main criteria that have to be taken into account for implementing measures are costs and road traffic safety. A5: Which roads and intersections within the traffic network of Greater Paramaribo are unsafe? It can be concluded that in general all types of roads (category 1: arterial, category 2: collectors and category 3: local roads) are unsafe in Greater Paramaribo. This is based on the analysis in this research indicating that there are no major differences in percentage of fatalities per road type (38% in category 1, 34% in category 2 and 28% in category 3 roads). A6: What are the characteristics (infrastructure-related factors) of these roads and intersections that make them unsafe? After selecting a number of black spots for further research, it can be concluded that different risk factors related to the infrastructure influence road traffic accidents. If these factors are classified, the following areas are distinguished: Design, Construction, Road Marking & Signaling and Maintenance. The black spot list generated from dataset 1 is validated and reliable, since these roads are also known as black spot roads based on analysis of dataset 2. S1: What measures will improve the safety on the roads and intersections of Greater Paramaribo? Infrastructure measures related to the following five risk areas: Design, Construction, Road Marking & Signaling and Maintenance: Design  Avoid conflicts of crossing traffic as much as possible  Physical separation of vehicle types when there are large differences of speed  Reducing speed at conflict points (such as intersections)  Ensure recognizable road categories Construction, Signaling & Marking  Better and more road marking and signaling  Speed reducing measures  Construction of sidewalks and better pavement and more visible crosswalks  Refer mopeds to the bicycle and moped lanes on the category 1 roads, leading to a smaller degree of mixed traffic between vehicles with large speed differences.  Construct broader cycle lanes  Road markings by constructing more lines and crosswalks Maintenance  Creating optimal conditions for good visibility.  More, safe and clean sidewalks for pedestrians  Uniform and cleaning sidewalks  Maintaining drainage services of road and sidewalk regularly  Paving of unpaved sidewalks, leading to good infrastructure facilities for pedestrians  Maintaining pedestrian crossings regularly, making them optimally visible for road users S2: What measures are applicable for Greater Paramaribo? Besides the infrastructural measures (from S1) also generic measures must be taken. These generic measures can be aimed on the vehicle, the drivers and the assistance. Besides these orientations of generic measures, combinations with group age categories can be made. Examples of generic measures for mopeds:  Information / Education aimed at younger drivers  Helmet duty in combination with helmet requirements  Counteracting engine volume increase of the vehicle (moped)  Introducing moped license and setting of a minimum age for driving a moped  Requirements on training and examination Higher enforcement regarding speed, helmets and vehicle engine volume increase E1: What are expected effects of these measures? In particular, the infrastructure-related measures have been successfully implemented in many countries leading road safety to score high and benefits greater than the costs. In general, the expected effects when these measures are implemented in Greater Paramaribo will be also positive. E2: What advice can be given to the authorities of Greater Paramaribo concerning traffic safety improvement? The advice to the authorities on the shorter term is to define traffic policy which is based on a reactive approach and for the longer term a pro active approuch in order to improve traffic safety. Infrastructure measures to be implemented on the short term can be in the field of signaling & marking and maintenance. On existing roads and intersections where there is enough space available, applying traffic facilities (pedestrian crossings, bus bays, clean roadsides etc.) for vulnerable road users can be started with. For the longer term, measures have to be implemented in the field of design and construction. The preparation of design standards and guidelines is an action which can be started on the short term. Once these are established for Greater Paramaribo, new infrastructure can be designed based on these standards. Audits can be performed to assure that new infrastructure is designed and constructed in accordance with the directives and standards. When generic measures are taken into consideration for being implemented, it is necessary to investigate for which type of road users it is meant. By taking this into account generic measures can perform better, because they are more effective and reflected better on the practice, compared to a general situation. For the situation in Greater Paramaribo the focus must be on the vulnerable road users like the mopeds, pedestrians and cyclists. Generic measures such as campaigns and education programs must be implemented on short term. Recommendations  Elaborate further on specific measures in the category generic- and infrastructural measures for each target group is recommended. Further elaboration will create a more accurate picture of associated costs and return (benefits) in terms of road safety. Further research into the preparation and development of design guidelines and standards to be established for new roads and intersections is also recommended  Categorize the road network of Great Paramaribo to an official functional hierarchy of roads.  Register traffic accidents in a systematic way. Further research is recommended on this area, since it has proved during this research how limited and laborious it is to consult data sources. For effective road safety policy and research recording accident data is essential, because it gives insight in characteristics of these accidents. It is desirable that software used in registration procedures is user-friendly, so that the competent authorities do not have to experience difficulties. In this way, exchange of data between main data collectors (ABS, AZP and VP) can be very beneficial in sense of using it as input for effective road safety policy.  With the existence of the SOV an important step towards the development of road safety policy has been made in Greater Paramaribo. However, it is recommended to use this graduation project as a turn of input for the establishment of a road safety plan. The black spots investigated in this study can be elaborated further into specific measures that can be implemented to improve traffic safety on these locations.","verkeersveiligheid","nl","master thesis","","","","","","","","","Civil Engineering and Geosciences","Transport & Planning","","","",""
"uuid:883796f3-49fc-46de-92f8-cd2bbd592d77","http://resolver.tudelft.nl/uuid:883796f3-49fc-46de-92f8-cd2bbd592d77","Hardware acceleration of simulations of distributed systems","Turi, D.","Langendoen, K.G. (mentor); Dulman, S.O. (mentor); Varbanescu, A.L. (mentor); Iosup, A. (mentor)","2013","In recent years the study of complex systems gained prominence. Since it is usually difficult to use classical mathematic models to understand these systems, scientists and engineers have to resort to simulations. Currently programming languages like CUDA C and OpenCL are available to run large scale simulations on a GPU architecture. Alternatively simulations can be executed on agent-based simulators such as NetLogo. The former enables the writing of highly performant programs whereas the latter offers a simple language and execution model which is accessible to people with little programming experience. The purpose of this thesis is to devise a proof-of-concept simulator called CudaSimulator which attempts to create a middleground between NetLogo and CUDA, which on the one hand retains the simplicity of NetLogo and on the other hand executes simulations on a GPU architecture. Apart from the general context this thesis is motivated by a specific demand. The Snowdrop project at the Embedded Software Group, TU Delft, aims to find algorithms that are written in the NetLogo programming language and exhibit certain emergent behavior. In order to find such algorithms Genetic Programming is used. Since a Genetic Programming framework has to simulate and evaluate a lot of algorithms and this process is usually lengthy, it could be accelerated on a GPU architecture. The CudaSimulator is therefore developed in such a way that it could serve as a backend to the Genetic Programming framework. The thesis includes an evaluation of the simulator which shows the situations in which the CudaSimulator is more feasible than alternative solutions.","MANET; distributed; simulation; CUDA; GPGPU; NetLogo","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Software Technology","","","",""
"uuid:12edfd30-b207-4455-887b-2367fdc54d18","http://resolver.tudelft.nl/uuid:12edfd30-b207-4455-887b-2367fdc54d18","Design of foam applicator which transforms ExEm®-Gel into ExEm®-Foam","Waars, H.","Goossens, R.H.M. (mentor); Kuipers, H. (mentor)","2013","HyFoSy (Hysterosalpingo Foam Sonography) is a gynaecological procedure to test the tubal patency of infertile females. The procedure is performed with a transvaginal ultrasound probe and an intrauterine foam, ExEm©-Foam. The foam distends the walls of the fallopian tubes and has echogenic properties. The ultrasound waves excite the air bubbles inside the foam, which in turn reflect and emit harmonic vibrations. The pulse inversion mode on the ultrasound instrument processes the returned vibrations into high contrast and sharp images. The graduation project describes the exploration of disposable mixers for the creation of ExEm©-Foam. Several foaming principles are evaluated on suitability, efficiency and feasibility. The concepts are divided in continuous and batch process categories. IQ Medical Ventures, the manufacturer of the ExEm©-Foam kit, was interested in a continuous solution, but the study shows that batch processes are more efficient, feasible and attractive. The final design is an optimization of the existing ExEm©-Foam kit. The new foam kit exists of two 10 ml Farco-Pharma syringes, one filled with 5 ml of ExEm©-Gel and the other with 5 ml of purified water. The syringes are attached to a custom connector, the LinQ. This allows the transfer of the fluids from one syringe to the other. The Venturi effect occurs due to the narrow nozzles of the syringes and causes cavitational forces to split the air bubble inside the syringe. The foam is prepared after ten repetitions of fluid transfer from one syringe to the other. The LinQ is an addition to the foam kit and is an inexpensive, disposable connector for the two syringes. The mixing setup has been redesigned to prevent disconnection problems, which caused entire ExEm©-Foam kits to be spilled. The LinQ simplifies and strengthens the fixation of the syringes, stabilizes the mixing setup, optimizes mixing efficiency and gives the foam kit a mature appearance. The LinQ is made of ABS with injection moulding and reduces the production costs of the ExEm©-Foam kit.","foam; medisign; gynaecology; ultrasound; hyfosy; contrast; bubbles; iq; medical","en","master thesis","","","","","","","Campus only","","Industrial Design Engineering","Design for Interaction","","Medisign","",""
"uuid:4fa238bd-8cdf-43e9-af28-a6884babbf6f","http://resolver.tudelft.nl/uuid:4fa238bd-8cdf-43e9-af28-a6884babbf6f","Presenting partial pictures of product examples in styling tasks: A new way to inspire designers without fixations","Cheng, P.","Schoormans, J.P.L. (mentor); Mugge, R. (mentor)","2013","In contemporary markets, styling becomes increasingly important for companies to stand out among competitors. Designers take the primary role of styling. Currently, designers are lack of objective tools to styling. They largely rely on their experience and intuitions to styling. To support designers to styling, this study firstly investigates the effects of a highly recommended method: decomposition strategy. Furthermore, to address the problem of fixations in the method, this study introduces a new way to defixate designers: presenting partial pictures of product examples. The experiment is designed and conducted to investigate the effects. The results show that the decomposition strategy can guide designers to get inspirations from examples, consider visual consistency of their designs and understand the styling tasks. The results also reveal that presenting partial pictures of product examples can promote designers to create more original designs, guide designers to pay more attentions on details and make designers evaluate their works more positively.","styling; design fixation","en","master thesis","","","","","","","Campus only","","Industrial Design Engineering","Product Innovation Management","","","",""
"uuid:1c1a3e90-11e6-4fe7-8808-8c6a1227dadb","http://resolver.tudelft.nl/uuid:1c1a3e90-11e6-4fe7-8808-8c6a1227dadb","Theoretical Analysis of Mechanical Power Generation by Pumping Cycle Kite Power Systems","Noom, M.N.","Schmehl, R. (mentor)","2013","A tethered wing can be used in two different ways, to lift payload or to provide traction power. The latter is the basis of several innovative technical applications, such as kite-assisted ship propulsion and pumping-kite wind energy conversion. This thesis presents a theoretical analysis of traction power generation by a tethered wing. The objective is to establish the fundamental relationships between system and operational parameters on the one hand, and the achievable mechanical power output on the other hand. It is assumed that the instantaneous flight state of the wing can be approximated by the steady equilibrium of aerodynamic and tether forces. The analysis covers the general case of controlled flight along an arbitrary, predefined trajectory with varying tether length. The analysis is compared with several special cases that are available in literature. In a second step, the effect of weight and centrifugal acceleration of the wing is included in the analysis, as well as the effect of weight and aerodynamic drag of the tether. To estimate the potential traction power generation the analysis is applied to the specific trajectory of a pumping cycle, which is characterized a traction phase, in which the kite performs figure-eight maneuvers, a retraction phase and a transition phase.","power; airborne; wind; energy; kite; Windenergy","en","master thesis","","","","","","","","","Applied Sciences","Wind Energy","","Sustainable Energy Technology","",""
