"uuid","repository link","title","author","contributor","publication year","abstract","subject topic","language","publication type","publisher","isbn","issn","patent","patent status","bibliographic note","access restriction","embargo date","faculty","department","research group","programme","project","coordinates"
"uuid:bf95e461-dddc-4d38-96bd-e13377da9b4c","http://resolver.tudelft.nl/uuid:bf95e461-dddc-4d38-96bd-e13377da9b4c","Neighbourhood Performance: Enhancing public life and urban morphology in Nieuwe Westen and Middelland","Aalpoel, F.A.","Stolk, E.H. (mentor); Harteveld, M.G.A.D. (mentor)","2016","","","en","master thesis","","","","","","","","","Architecture and The Built Environment","Urbanism","","Design of the Urban Fabric","",""
"uuid:f132330b-9c07-4d67-aabd-5eb9ad2d3785","http://resolver.tudelft.nl/uuid:f132330b-9c07-4d67-aabd-5eb9ad2d3785","Spatiotemporal aeolian sediment transport variabilities at Oysterville (WA) beach","Verheijen, A.H.","de Vries, S. (mentor); Lindenbergh, R.C. (mentor); Vos, S.E. (mentor)","2016","Changes in spatiotemporal variability of aeolian sediment transport as result of bar welding are studied in this paper, within the scope of SEDEX².","coastal area; intertidal zone; sediment mobilization; sediment transport; tide","en","student report","","","","","","","","","Civil Engineering and Geosciences","Hydraulic Engineering / Coastal Engineering","","Hydraulic Engineering and Water Resource Management (HEWRM)","C73B23","46.56401,-124.06252"
"uuid:ed9b743c-a4ad-44be-9622-b51de5f39795","http://resolver.tudelft.nl/uuid:ed9b743c-a4ad-44be-9622-b51de5f39795","Modelling information diffusion based on Epinion","Dong, T.","Hanjalic, A. (mentor)","2016","Online social networks have been attracted considerable attentions and provided new channels for users to share and disseminate content, products, ideas and etc on the websites. With the advent of Internet, the user activities in online social networks can be easily tracked, which provide us with a extremely large scale of online data to study the individual interaction patterns and interpersonal influence over online social network. In this work, we aim to investigate the characteristics of user rating activity contagion, by which the information can spread through network of users in Epinion online social network. Our study is based on a dataset collected from Epinion online social network, which includes not only the trust network data indicating the social graph formed by its users but also the users’ rating activity data. We analyze the social structure and confirm that the Epinion social network exhibit small-world and scale-free characteristics. We present the analysis of user rating activity data and extract the interactions between users, that indicate the spread dynamics of user activity over Epinion using a percolation process based methodology, and present the user behavior patterns observed in Epinion social network. We propose a social contagion model that is inspired from the Epinion data, which captures the unique characteristic that percolation probability along social links is dependent on the user degree property. We use the model to systematically study the propagation dynamics of user activity through the Epinion social network as well as two generated network models: scalefree network and Erdos-Renyi network on the activity dynamics to investigate the following questions: How quickly and widely does rating activity spread in Epinion social network? How social network topology influences the activity propagation process? Which type of social network can be used to best facilitate the information diffusion ?","online social network; information spreading; social contagion","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Intelligent Systems","","","",""
"uuid:4c9abeb7-6b98-4f07-9cbb-ed27bbdade06","http://resolver.tudelft.nl/uuid:4c9abeb7-6b98-4f07-9cbb-ed27bbdade06","Improving compression of DNA sequencing data by clustering on quality score alphabet","Foniadakis, S.","Al-Ars, Z. (mentor)","2016","The intensive research interest in studying genomes has led to a series of advances in DNA sequencing methods and technologies, resulting in a high pace of data production. As a result, the need for storing, managing and transmitting DNA sequencing data in an affordable and efficient way becomes urgent. Data compression is used as a solution that enables facing this data production challenge. Despite the domain specific data compression algorithms developed for genome files, they are mostly compressed using general purpose algorithms and formats such as gzip. In the context of this project, a boosting technique is presented as a genome file preprocessing step to be applied prior to compressing it using an LZ77-compliant algorithm. The approach is based on the idea of clustering the data in the gnome file using similarity of quality scores in the sequenced DNA data. This thesis creates a mathematical model for this approach and then implements it for a number of genome files and shows its effectiveness for some of them. In addition, a decision framework is then proposed and evaluated experimentally, focusing on file characterization so as to predict the applicability of the technique to a general genome file. Results show marginal improvement in the compression ratio of preprocessed files of up to 0.43% as compared to the original file.","","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Quantum Engineering","","Computer Science","",""
"uuid:95846b3f-197c-4c52-b2df-951aeeaf04f3","http://resolver.tudelft.nl/uuid:95846b3f-197c-4c52-b2df-951aeeaf04f3","The use of additives to stabilise dredged material","Druijf, B.","van Paassen, L.A. (mentor); Heimovaara, T.J. (mentor)","2016","A study regarding the use of additives to stabilise dredged material has been conducted. The research objectives were to find additives, describe the effects the additives have on the dredged material, explain these effects and the necessary properties to deposit the stabilised material at a high rate, being 2000 m3 per hour. All these objectives have the overriding goal of creating a material that has an undrained shear strength of at least 75 kPa, which equals an unconfined compressive strength of 150 kPa. Equipment used on such a site exerts a maximum pressure on the surface of 75 kPa. Areas that lack sand or containment sites for polluted dredged material can benefit from this method.","","en","master thesis","","","","","","","","","Civil Engineering and Geosciences","Geoscience & Engineering","","Geo-Engineering","",""
"uuid:fb39abce-5aa0-4093-9843-ec491b123e7a","http://resolver.tudelft.nl/uuid:fb39abce-5aa0-4093-9843-ec491b123e7a","Fatigue disbond growth in primary aerospace structures","Tandon, S.","Zarouchas, D. (mentor)","2016","A parametric finite element model incorporating virtual crack closure technique was developed in order to determine the critical disbond size and location for disbond growth in an adhesively bonded skin stiffened structure, subjected to uniaxial compression loading. The model was validated using static experimental tests on both pristine and artificially disbonded specimens. Three specimens were manufactured with critical initial disbonds based on the FE results and subjected to compression-compression fatigue loading at three different maximum loading amplitudes. Results of the fatigue testing showed significant disbond growth which resulted in substantial decreases in buckling loads.","disbond; fatigue; disbond growth; parametric study; virtual crack closure technique","en","master thesis","","","","","","","","","Aerospace Engineering","Aerospace Structures & Materials","","","",""
"uuid:7e06b029-ca3b-404b-ac86-633bdbba9d9c","http://resolver.tudelft.nl/uuid:7e06b029-ca3b-404b-ac86-633bdbba9d9c","the Hybrid Cutter Dredger: a study on technical and economical feasibility","Gerritsen, J.L.S.","Visser, K. (mentor)","2016","Growing concern about global warming and climate change intensified the research into more efficient ways of operation in the maritime industry. These researches triggered the use of electrical batteries in hybrid systems. Van Oord aims to operate more efficiently, which implies using less fuel and thus emitting less carbon dioxide. A way to achieve this might be the use of batteries for hybrid power plants on board of their cutter suction dredgers. This will investigate what the potential carbon dioxide reduction of a hybrid system could be. Since the competitiveness of the Van Oord fleet should not be affected a certain cost perspective is taken into account as well. The objective of this thesis is to find a battery capacity that achieves a fuel and running hour reduction in such a way that it is cost effective. The cutter suction dredger’s operational profile has a fluctuating nature in terms of power demand. In this study several operational profiles are examined and one most representative operational profile is constructed. This operational profile has large peaks and troughs which favours the use of a certain peak shaving system like a battery. Moreover, the average loading of the diesel engines is quite frequently far off the optimal 85% load. In order to optimise the power demand from the diesel engines and ensuring efficient operation, models are developed to simulate the behaviour of the diesel engine, the battery and the hybrid system as a whole. As a start the effect of transients in the load profile of the diesel engine on its efficiency is investigated. It is found that the efficiency of a larger medium speed diesel engine running on constant speed with a sufficient air excess ratio, is not affected by transients in the load profile. The data collected in this analysis is used to develop a fuel consumption model which estimates fuel consumption as function of the load of the engine. In addition, the diesel engine the battery pack is modelled. The model of the battery pack is based on multi dimensional lookup tables that hold the non-linear relations between terminal voltage, state of charge and current. For the battery a separate lifetime calculation is developed, which estimates the battery lifetime for different charge/discharge profiles. The fuel consumption model and the battery model are tested and perform as intended. In order to combine the fuel consumption model and the battery model, a power management system is developed. This power management system uses binary logic to optimise the system performance. The set-points of the power management system are tuned in an iterative way. Due to a structured simulation approach the simulation results can be converted to trend lines. These trend lines enable the determination of the optimal battery capacity with respect to reduction of fuel consumption, reduction of running hours, investment cost and battery lifetime. The optimal capacity for the battery is 4516 𝑘𝑊ℎ. With this battery the system is not cost effective. However, technical feasibility is proven and fuel consumption is reduced. A yearly fuel reduction of 75 ton HFO and 142 ton MDO is achieved. This results in a reduction of carbon dioxide of 687 ton annually. With this system every ton of carbon dioxide reduction will cost Van Oord €575. The performance of the hybrid system can be improved by extending the battery lifetime. This is done by adjusting the power management settings according to the actual residual battery capacity. This method reduces the cost per ton carbon dioxide reduction to €128. Furthermore the effect of running on MDO instead of HFO is investigated, this results in a marginal improvement in cost perspective. Every ton of carbon dioxide reduction will cost €554. The actual annual carbon dioxide reduction will not change. Unfortunately the proposed hybrid system will only reduce carbon dioxide emission in a cost effective way when the HFO price rises to €700 per ton and the battery price per 𝑘𝑊ℎ halves. In combination with a Liquefied Natural Gas (LNG) fuelled power plant the hybrid system can be used. It is proven that energy demand can be stored in and provided by a battery with a reasonable size. Due to the response of a gas engine the battery is not an extra any more, but it becomes a necessity.","hybrid; dredging; battery modeling; diesel engines; transient operation; peak shaving","en","master thesis","","","","","","","","","Mechanical, Maritime and Materials Engineering","Marine and Transport Technology","","Ship Design, Production and Operations","",""
"uuid:76f3d87d-3806-4387-bdfe-93af4acc9a25","http://resolver.tudelft.nl/uuid:76f3d87d-3806-4387-bdfe-93af4acc9a25","Passive Filter Design and Optimisation of Harmonic Mitigation in Wind Power Plants","Radhakrishnan, K.","Tedeschi, E. (mentor); Bauer, P. (mentor); Kocewiak, L. (mentor)","2016","Over exploitation of fossil fuels and ill effect of global warming have forced human civilisation in search of new sustainable energy resources. Renewable energy resources like hydro, solar, wind , biomass etc., are environmental friendly energy resources. One such renewable energy resource is Wind Energy. The growth of offshore wind farms is increasing, with it the problems associated with electrical generation. Harmonics is one such problem faced by the Offshore Wind Power System. Harmonics are injected into the power system primarily through power electronic converters and are amplified by harmonic resonances in the power system. It is of utmost importance to provide harmonic pollution less voltage to the customers. Harmonic mitigation structures are used to mitigate harmonic frequencies. Passive filter is one such and major harmonic frequency mitigation structure. This thesis deals with optimization of passive filters in a wind power plant. The objective of the thesis is to analyse harmonics that are present in the wind power system, design passive filters to eliminate or control the harmonic distortions and optimize these filters on various and possible parameters. A test case system Anholt Offshore Wind Farm was taken into consideration and the wind power system was modelled in MATLAB Simulink. The harmonics present in the system was analysed. LCL filter was designed at wind turbine level to mitigate harmonic frequencies and optimization of LCL filter components on factors like attenuation factor, acceptable total and individual voltage and current harmonic distortion, fundamental frequency losses and reactive power capability was conducted. The optimum LCL filter parameters was found out to give acceptable total harmonic distortion of voltage waveform dictated by IEC standards. Further second order high pass filter, third order high pass filter, C-Type filter, Switching frequency trap filter, C-Type with switching frequency trap filter and resonance trap filter were designed and modelled in the simulation platform. Optimization of all these filters was conducted based on quality factor, acceptable total and individual voltage harmonic distortion dictated by IEC standards, fundamental frequency losses and reactive power capability. The results of the optimized filter was tabulated an it was found that C-Type filter with switching frequency trap filter gave the optimum results. At wind farm level reactive power compensation was established, harmonic distortion monitoring and harmonic resonance monitoring was done, and the result show that C-Type with witching frequency trap filter gave the optimum results. It can also be seen that different passive filters operate more efficiently at different harmonic frequency ranges.","","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Electrical Sustainable Energy","","Erasmus Mundus, European Wind Energy Master (EWEM)","",""
"uuid:78eed80f-2d9e-4c9a-b806-40b8adb9ccda","http://resolver.tudelft.nl/uuid:78eed80f-2d9e-4c9a-b806-40b8adb9ccda","Hydrogenated Indium Oxide (IO:H) TCO for Thin Film Solar Cell","Wibowo Setia Budhi, A.","Isabella, O. (mentor); Illiberi, A. (mentor)","2016","Achieving high efficiency solar cells becomes more interesting in order to make solar cell become cost competitive to the other renewable energy sources. Transparent conductive oxide (TCO) which has a requirement to be chemically stable, high transparency and high conductivity, and also application for light trapping application makes it important to be developed. TCO that are commonly used for thin film solar cell has a similar problem, which is high absorption in the near infra-red (NIR) region. Recently, hydrogenated indium oxide (IO:H) has been developed and gained more attention due to the possibility to obtain high mobility with low absorption from visible to NIR region. Therefore the objective of this thesis is the development of high mobility IO:H TCO for thin film solar cells application. Several parameters have been adjusted in the development of IO:H such as partial pressure of water vapor, thickness, annealing temperature and power. Introduction of water vapor during the deposition suppresses the growth of In2O3 crystal and make the layer amorphous. Deposition amorphous layer is important to achieve high mobility due to the possibility of defects clustering (oxygen vacancies and indium vacancies) during the annealing. Another important role of water vapor is as the source of hydrogen atoms which could passivate the defects inside IO:H layers. IO:H with mobility of around 150 cm2/Vs and sheet resistance of 28 (thickness of 100nm) has been developed. By increasing the thickness of IO:H layer, the sheet resistance could be decreased until 12.5 at 400nm thickness with maintaining mobility of 120 cm2/Vs. Application of IO:H as TCO in thin film solar cells need to be optimized further. CIGS solar cell with IO:H on top of it indicates a lower efficiency (11.92 %) compared to CIGS with AZO (15.05 %). The loss in CIGS solar cell with IO:H on top of it mainly caused by the drop in the VOC and FF of the solar cell. Meanwhile, the a-Si solar cell with IO:H indicates a better efficiency (5.71 %) compared to cell with AZO (5.34%). It gain higher VOC and JSC but loose in FF. In general the solar cell with IO:H as TCO layer indicates lower FF and higher JSC¬ compared to solar cell with AZO.","TCO; Hydrogenated; Indium Oxide","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Electrical Sustainable Energy","","Sustainable Energy Technology","",""
"uuid:dc178923-794e-40b1-a0bd-82ad69c78b9a","http://resolver.tudelft.nl/uuid:dc178923-794e-40b1-a0bd-82ad69c78b9a","Living in the Places of Memory","haseki, yildiz","Mota, N. (mentor)","2016","","spine; global housing; identity; coexistence","en","master thesis","","","","","","","","","Architecture and The Built Environment","","","","",""
"uuid:6c54630c-b14d-4138-91f7-fc8bd46884d0","http://resolver.tudelft.nl/uuid:6c54630c-b14d-4138-91f7-fc8bd46884d0","Large diameter dolphin piles: The effect of the inner soil on their local buckling resistance","Winkel, J.","Jonkman, S.N. (mentor); Peters, D.J. (mentor); van Es, S.H.J. (mentor); Everts, H.J. (mentor)","2016","Even though for most hydraulic and geotechnical structures clear guidelines are available, those for flexible dolphins are still missing. Consequently, whether a design is safe is usually subject of debate. Economical dolphin piles are large diameter tubular piles, susceptible to local buckling. After installation the embedded part of these piles remains predominantly filled with soil. The aim of this research is to provide understanding of the effects concerning local buckling and therewith to contribute to the discussion whether a dolphin design is safe. The main research question is: Does the soil in dolphin piles contribute to the local buckling resistance and can this be used in the design of these piles? Gresnigt (1986) prescribes a strain based method to check a pile on local buckling. This method is incorporated in EN 1993-4-3 (2009). The resistance against local buckling depends on the slenderness ratio De/(tε2) . Also, ovalisation influences the resistance. The presence of a soil plug reduces the ovalisation, enhancing the local buckling resistance. An analytical method is proposed in which beam theory is used to determine the dolphin pile deformation and loads on the pile. Literature provides equations to calculate the ovalisation that can be applied in three distinct parts: above the bed level, between the bed level and plug level and below the plug level. The provided equations however, show inconsistencies at the transitions. It is proposed to apply beam theory on the pile wall, modelled as a linear beam with springs providing resistance against ovalisation. Above the plug level, the resistance is provided by the ring behaviour of the shell. Below the plug level, the stiffness is increased with the stiffness of the soil plug. The model overcomes the inconsistencies in ovalisation. The method assumes the stiffness of the plug in the pile can be approximated. However, it is concluded that the suggested stiffness in CUR 211E (2013) is not able to determine the plug stiffness for semi-filled piles. Key parameters that affect the local buckling resistance are identified. These are the plug packing, plug level, slenderness ratio and the soil packing. The influence of these key parameters are studied with the finite element program Abaqus. The parametric study proves that the soil in dolphin piles contributes to the local buckling resistance. A denser packing of the plug improves the capacities of the bending moment and lateral load. Most of all, the dolphin can dissipate more energy. The plug level influences the level at which local buckling is observed, as well as whether an inward or outward buckle occur. The contribution of the inner soil on the local buckling resistance can be compensated by designing a more slender dolphin pile. A more slender cross-section reduces the capacities of the pile. The packing of the outer soil also influences the buckling level and shape. Furthermore, a looser soil packing improves the energy capacity of the dolphin pile. To obtain a dolphin pile that optimises the improvements on the local buckling resistance by the inner and surrounding soil, an installation method is used that does not compact the soil and plug packing and after installation, the plug packing is compacted. With the Abaqus analyses the stiffness of the soil plug is studied. It reveals that the plug is stiffer at deeper levels. For a pile with a diameter comparable to 914mm, when the predicted ovalisation for that pile without a soil plug is less than 8 mm, a plug stiffness of 30,000 kN/m2 can be assumed in the proposed analytical method, regardless of the plug packing. The stiffness is independent of the slenderness ratio. The Port of Rotterdam facilitated a full scale field test with eight piles. The Abaqus model shows reasonable comparison with the field test. The observed local buckling behaviour piles that were not modelled can well be explained with the results of the parametric study.","dolphin; pile; local; buckling; soil; fill","en","master thesis","","","","","","","","","Civil Engineering and Geosciences","Structural Engineering","","Hydraulic Structures","",""
"uuid:d366b214-36f4-42ba-93db-38dfd0fac4e3","http://resolver.tudelft.nl/uuid:d366b214-36f4-42ba-93db-38dfd0fac4e3","Design of a connected infant monitoring wearable","Marinkovic, E.","Song, Y. (mentor); van der Helm, A.J.C. (mentor)","2016","The aim of the following project was to investigate the acceptability of an infant wearable as a consumer market product for the Philips Avent uGrow range. Infant wearables are a new technology, and although some currently exist on the market (mainly spearheaded by startups), it is unclear whether this would be a good direction for Philips to take. Part of this aim was to gain an understanding in whether this technology would be useful to parents, and if so; how. Furthermore, the form and materials impact comfort and visual appeal. To achieve an acceptable design on both fronts, the project takes a dual approach: both ideal form and ideal functionality were investigated. A pragmatic, user-focused strategy was taken to critically assess existing and potential solutions.","infant wearables; design","en","master thesis","","","","","","","Campus only","","Industrial Design Engineering","Design Engineering","","Integrated Product Design","",""
"uuid:3e67667d-9ecc-41fd-a85a-3abf39b090d3","http://resolver.tudelft.nl/uuid:3e67667d-9ecc-41fd-a85a-3abf39b090d3","Remote sensing waves in data-scarce countries: An analyis of the wave climate along the myanmar coast","Kwant, M.D.","De Vries, S. (mentor); Rutten, M.M. (mentor)","2016","The objective of this thesis was analyzing and evaluating different sources of wave data. Wave data from two hindcasts, satellite altimetry and wave buoys were compared with each other in order to validate different data sets. These datasets provided to be useful tools in determining the wave climate along the coast of Myanmar.","remote sensing; Myanmar; wave climate; wave buoy; measurements; satellite altimetry; wavewatch; rads; wave spectrum","en","student report","","","","","","","","","Civil Engineering and Geosciences","Hydraulic Engineering","","Coastal Engineering","","16.59000, 94.25000"
"uuid:aa6798d0-fd45-423a-bdd5-924e666b8ade","http://resolver.tudelft.nl/uuid:aa6798d0-fd45-423a-bdd5-924e666b8ade","Seeing is Believing: Capturing functional product requirements with Augmented Reality within Dutch mega transport projects","Verheggen, V.T.J.","Hertogh, M.J.C.M. (mentor); van Nederveen, G.A. (mentor); Lukosch, S.G. (mentor)","2016","","","en","master thesis","","","","","","","","","Civil Engineering and Geosciences","Structural Engineering","","Construction Management and Engineering","",""
"uuid:200f6974-3d2c-4383-87bd-1760fad834d8","http://resolver.tudelft.nl/uuid:200f6974-3d2c-4383-87bd-1760fad834d8","Optimal placement and sizing of battery energy storage using the genetic algorithm","Gavric, M.","Bauer, P. (mentor); Lara, O.A. (mentor); Dong, J. (mentor); Izadkhast, S. (mentor)","2016","Voltage drop and rise at network peak and off-peak periods are one of the major power quality problems in low voltage distribution networks. Additionally, the ever increasing demand for electricity along with the other requirements are driving modern day power systems towards more distributed generation (DG). Integration of large scale DG can be limited by these voltage variations. Therefore, it is of high interest to investigate the voltage support strategies that are able to successfully mitigate these problems. One of the solutions is to use energy storage systems (ESS). On the one hand limited amount of energy storage might not have the desired impact. On the other hand it is not possible to install large amount of energy storage as this would increase the costs substantially. Therefore it is required to optimally place and size energy storage. The purpose of this thesis is to investigate the optimal placement and sizing of battery energy storage with the integration of renewable energy sources (RES) in a low voltage distribution network. An optimization model has been developed in order to identify the potential battery size and location combinations that increase the RES hosting capacity of the distribution network. The optimization tool used for this problem is the Genetic Algorithm (GA). Among the most important features of this algorithm stands its robustness and ability to provide good results in optimization processes. The functionality and the performance of the developed model is assessed using an IEEE benchmark network that has shown to be adequate for both the dynamic and steady-state analysis. The results of this work show that the voltage problems caused by the integration of RES can be mitigated by optimal placement and sizing of battery energy storage. They also show that besides the the voltage profile improvement reduction of losses can be achieved.","distribution network; low voltage; distributed generation; reverse power flow; voltage rise; voltage support; battery energy storage systems (BESS); genetic algorithm (GA)","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Electrical Sustainable Energy","","Erasmus Mundus, European Wind Energy Master (EWEM)","",""
"uuid:5de94497-e7d8-481f-9254-dce9f1a2f75f","http://resolver.tudelft.nl/uuid:5de94497-e7d8-481f-9254-dce9f1a2f75f","Modelling with Hysteresis","Gutierrez Castillo, E.B.","Romate, J.E. (mentor)","2016","","","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Delft Institute of Applied Mathematics","","Numerical Analysis","",""
"uuid:d65baa7b-e478-4352-a50a-3013e4802739","http://resolver.tudelft.nl/uuid:d65baa7b-e478-4352-a50a-3013e4802739","Validating a Human Controller Model for Preview Tracking Tasks: Identification of the Effects of Spatial Occlusion using Eye-Tracking","Rezunenko, E.M.","Pool, D.M. (mentor); van der El, K. (mentor); Mulder, M. (mentor)","2016","This paper presents an experimental validation of a recently developed two-point human controller (HC) model for preview tracking tasks. During a human-in-the-loop experiment, subjects tracked identical target signals with zero preview, 1.5 seconds of preview, and two occlusion conditions, blocking either the 0-0.5 s, or 0.35-0.85 s region from the HC’s view. Subjects’ gaze positions were recorded with a fixed-base eye-tracker. Measurements of the HC behavior were analyzed in the frequency domain by estimating the parameters of a quasi-linear model and compared to the distributions and means of the gaze data. The model fits accurately to the measurement data, therefore its validity is extended to occlusion scenarios. We suggest that internal processing of the target signal is performed by HCs, allowing them to respond to the signal inside the occlusion region by interpolating the last available position of the target preview. Results show a correlation between foveal gaze position and identified near-viewpoint locations, while the far-viewpoint is perceived peripherally by the HC. We consider the model viewpoints to be physically representative of the visual regions used by HC for gathering preview information.","preview control; manual control; system identification; parameter estimation; occlusion; eye-tracking","en","master thesis","","","","","","","","2021-10-31","Aerospace Engineering","Control and Operations","","Control and Simulation","",""
