"uuid","repository link","title","author","contributor","publication year","abstract","subject topic","language","publication type","publisher","isbn","issn","patent","patent status","bibliographic note","access restriction","embargo date","faculty","department","research group","programme","project","coordinates"
"uuid:b7621fd0-3014-4b67-9749-fe866866afcf","http://resolver.tudelft.nl/uuid:b7621fd0-3014-4b67-9749-fe866866afcf","A clearing amidst movement","Treffers, Nils (TU Delft Architecture and the Built Environment)","Pimlott, M. (mentor); Koskamp, G. (graduation committee); Rosbottom, D.J. (mentor); Delft University of Technology (degree granting institution)","2020","Traffic square and station Marconiplein, the project site, has become a cacophony of highly controlled and isolated traffic domains which one wants to passage and exit as quickly as possible. Like many other metrostation in Rotterdam the passage of time dominates the passage of place and the notion of the station as real-estate prevails over it being a public landscape. This project translate an agency for architecture to merely materialise the real-estate for traveling consumers into an interest and potential agency for landscape and infrastructure to establish a more shared and public experience amongst strangers. The proposal re-establishes a sense of place, of arrival somewhere specific and significant. Crucial approaches to establish this are (1) a re-organisation of the site based on the re-introduction of historically present qualities and characteristics and (2) both the act of clearing and the clearing as physical interior to experience. In the proposal Marconiplein has become both park and station linked to bigger networks of transport and green fragments on a much bigger scale. Is has become a central public space, cleared from transport systems and framed by a bridge and tree canopies. The bridge and trees provide a functional route and shelter between all transport platforms whilst acting as decor of movement unfolding behind, up and underneath it. A carpet of different ground floor materialisations address different uses and complexities as a critical means of operating without fences, walls or buffer zones. Canopy and carpet together create a clearing and a series of different urban interiors around it that address the very different urban fragments surrounding the site. It has become a place where the station and parks benefit from and open up to each-others surprise and quality.","Station; Park; Transport; place; public space; infrastructure","en","master thesis","","","","","","","","","","","","Architecture, Urbanism and Building Sciences | Interiors Buildings Cities","","51.913278, 4.432722"
"uuid:aba3f2eb-92c1-434a-97ce-ea523c896474","http://resolver.tudelft.nl/uuid:aba3f2eb-92c1-434a-97ce-ea523c896474","Curvature recovery using splines","Kromhof, Oscar (TU Delft Electrical Engineering, Mathematics and Computer Science)","den Ouden-van der Horst, D. (mentor); Delft University of Technology (degree granting institution)","2020","An analysis of curve interpolation with splines as a means to recover the curvature of a ordered set of discrete data points that originate from a closed smooth planar curve, in the context of the levelset method.","Splines; Curve interpolation; Level-set method; Curvature","en","bachelor thesis","","","","","","","","","","","","Applied Mathematics","",""
"uuid:ab1aab60-e7ad-4d32-bb82-1a5e2efd78fd","http://resolver.tudelft.nl/uuid:ab1aab60-e7ad-4d32-bb82-1a5e2efd78fd","Ramsey theory","Titulaer, Björn (TU Delft Electrical Engineering, Mathematics and Computer Science)","Hart, K.P. (mentor); Delft University of Technology (degree granting institution)","2020","In this report we will take a look at various proofs of Ramsey's theorem, some of the bounds that result from those proofs and applications of Ramsey's theorem. We will consider the proof of Ramsey himself, the proof of Skolem, the proof given by Erd\H{o}s and Szekeres and the proof of again Erd\H{o}s and Rado. The best upper bound for higher order Ramsey numbers is obtained by following the proof of Erd\H{o}s and Rado and this bound has only marginally improved since then. We will also state and prove the lower bound given by Erd\H{o}s and Hajnal. In the end we will apply Ramsey's theorem to both the Happy Ending problem and the monotone subsequence problem. The bounds we get for both problems using Ramsey's theorem, however, are quite weak compared to bounds that do not use Ramsey's theorem, so the theorem is more useful in proving the existence of a certain number than it is to find strong bounds for it.","Ramsey; Coloring; Hypergraph","en","bachelor thesis","","","","","","","","","","","","","",""
"uuid:1aeeaec7-e8ba-45b5-a9f2-64f61d97f9cc","http://resolver.tudelft.nl/uuid:1aeeaec7-e8ba-45b5-a9f2-64f61d97f9cc","Floor slab optimization: Reducing the environmental impact of concrete construction through fabrication-aware, structurally optimized floor slabs","Leemeijer, K. (TU Delft Architecture and the Built Environment)","Asut, S. (mentor); Schipper, H.R. (mentor); Delft University of Technology (degree granting institution)","2020","The building sector is responsible for 40% of worldwide carbon emissions, of which 8% can be attributed to concrete construction. With an increased demand for housing, this percentage is bound to increase. This thesis sheds light on strategies for reducing the environmental impact of concrete construction by investigating the potential of structural optimization and additive manufacturing. It concludes that in its current state, additive manufacturing is not able to address the environmental impact. Therefore, other potential strategies were explored, resulting in the following hypothesis: Fabrication-aware, structurally optimized floor slabs can significantly reduce the environmental impact of concrete construction. This hypothesis resulted in a derivative-free – fabrication aware – optimization methodology combining shape and size optimization to find the optimal form of a thin-shell inspired flooring system. A life cycle assessment resulted in an overall environmental footprint reduction that ranges from 60.1% to 79.8% compared to conventional flooring systems in a hypothetical office building. This shows the effectivity of flooring systems that take advantage of membrane action and the impact of increasing structural efficiency to reduce the environmental footprint of concrete structures.","Floor slab; Membrane action; LCA; Derivative-free optimization; Concrete; Fabrication aware structural optimization","en","master thesis","","","","","","","","","","","","Architecture, Urbanism and Building Sciences | Building Technology","",""
"uuid:05998137-5d7d-4234-b8f7-d6c0ef517569","http://resolver.tudelft.nl/uuid:05998137-5d7d-4234-b8f7-d6c0ef517569","A THz Lens Antenna fed by a Photoconductive Connected Dipole Array","Pelekanidis, Antonios (TU Delft Electrical Engineering, Mathematics and Computer Science; TU Delft Microelectronics)","Neto, A. (mentor); Llombart Juan, N. (graduation committee); Mastrangeli, M. (graduation committee); Sberna, P.M. (graduation committee); Delft University of Technology (degree granting institution)","2020","Photoconductive antennas have been used extensively for THz radiation the last few years. In this thesis, we propose a photoconductive connected dipole array consisting of 36x36 elements that is used as a feed in a THz silicon lens and radiates in a band ranging from 100 GHz to 5 THz. Specifically, we compute theoretically the radiated field patterns of the array as well as the secondary field beyond the lens. Furthermore, we investigate the feasibility of the fabrication of such a photoconductive connected array, given the challenges in 3D printing of a um-sized microlens array that is used to focus the laser power to the excitation gaps of the dipoles. We conclude that microlenses of sufficient accuracy can be fabricated in the premises of TU Delft without compromising the efficiency expected in theory. Lastly, we build a Matlab GUI that computes the far field radiated by various types and sizes of lens antennas in transmission, provided that the field radiated by the feed is already known. This tool has been successfully validated and supported the work in the first part of the thesis at the calculation of the far field of our proposed THz silicon lens antenna.","THz antenna; Photoconductive antenna; Microlens array","en","master thesis","","","","","","","","","","","","","",""
"uuid:00bdb306-13c1-431c-be5b-713fc03f42ea","http://resolver.tudelft.nl/uuid:00bdb306-13c1-431c-be5b-713fc03f42ea","GPU Acceleration of the PWTD Algorithm for application in High-Frequency Communication and Fotonics","Gravendeel, R.J. (TU Delft Electrical Engineering, Mathematics and Computer Science; TU Delft Delft Institute of Applied Mathematics)","Cools, K. (mentor); Vuik, C. (graduation committee); Lin, H.X. (graduation committee); van Driel, R (graduation committee); Delft University of Technology (degree granting institution)","2020","When creating electronic devices, it is essential to model what happens when an electromagnetic field hits the device and it scatters. Conventionally, this can be modelled using the Marching-on-in-Time algorithm. This can become computationally expensive for complex systems. To speed up the algorithm, the Plane-Wave Time-Domain algorithm is combined with the MOT algorithm. To accelerate the process even more, part of the algorithm is implemented using a Graphics Processing Unit, or GPU. <br/><br/>To test if using GPUs for this type of problem is actually beneficial, three experiments are set up. The first one tests the basic operations of addition and multiplication on matrices and vectors of various sizes, to determine if and when the computation time of the GPU is lower than that of a CPU. The second experiment tests the use of Fast Fourier Transform planner functionality and compares the CPU computation time with that of the GPU for the FFT of matrices of various sizes. The third experiment compares an example of the PWTD algorithm on the CPU and the GPU. These experiments are performed on three different devices. <br/><br/>The results from experiment 1 and 2 show that, after a certain point, the GPU is almost always faster, no matter the operation. Experiment 3 shows that the current GPU implementation is currently not as fast as the regular PWTD algorithm, though one of the devices is only 0.003\% slower. <br/><br/>In conclusion, theoretically a decrease in computation time is expected. From experiment 3 it follows that it is not the case yet, though with more optimisation the GPU implementation would almost certainly become faster.","GPU computing; Plane wave time domain; FFT; PWTD; Scattering","en","master thesis","","","","","","","","","","","","Applied Mathematics","",""
"uuid:da0743aa-1598-403f-b142-c2cef0fb0e02","http://resolver.tudelft.nl/uuid:da0743aa-1598-403f-b142-c2cef0fb0e02","Usability of Physical Internet characteristics for achieving more sustainable urban freight logistics: barriers and opportunities revealed by dominant stakeholder perspectives","van Son, C.B.H. (TU Delft Civil Engineering and Geosciences)","Tavasszy, L.A. (mentor); van Duin, J.H.R. (mentor); van Binsbergen, A.J. (mentor); Delft University of Technology (degree granting institution)","2020","Urban freight logistics currently has to deal with multiple unsustainabilites. Physical Internet characteristics can be promising to make urban freight logistics more sustainable. It was researched if this can be the case and, what opportunities and barriers there are belonging to this change. With Q-methodology different stakeholder perspectives were revealed. This resulted in four different perspectives from which three had a positive attitude towards PI characteristics. One perspective was more moderate in relation to this and stated that a lot is possible already without changes happening. Opportunities and barriers are defined and it was concluded that there is currently no real need to change. Because an increase of national coordinated regulation was also assessed positively a policy framework was created that states individual and collaborative actions for stakeholders. With this 'an environment where efficiency pays off' should be created.","Physical Internet; Urban Freight Logistics; Sustainability; Q-methodology","en","master thesis","","","","","","","","","","","","Transport, Infrastructure and Logistics","",""
"uuid:d4c4d12b-111e-4992-b23d-f889b7bd3b19","http://resolver.tudelft.nl/uuid:d4c4d12b-111e-4992-b23d-f889b7bd3b19","Design of a decision making algorithm to support operators in a real-time production environment","Koot, S.N.J. (TU Delft Mechanical, Maritime and Materials Engineering)","Beelaerts van Blokland, W.W.A. (mentor); Schott, D.L. (graduation committee); Pruijn, J.F.J. (graduation committee); Delft University of Technology (degree granting institution)","2020","","","en","master thesis","","","","","","","","","","","","","",""
"uuid:20e81133-c326-4fc1-920e-74d313bd8ce5","http://resolver.tudelft.nl/uuid:20e81133-c326-4fc1-920e-74d313bd8ce5","Combined Ab-initio and Experimental Study of Hydrogen Sorption in Dual-Phase Steels","Sagar, S. (TU Delft Mechanical, Maritime and Materials Engineering)","Dey, Poulumi (mentor); Popovich, Vera (graduation committee); Delft University of Technology (degree granting institution)","2020","The formability of Advanced High Strength Steels is critical for their usability in automotive applications. It has been observed that the presence of hydrogen, even in concentrations of the order of 1 ppm, leads to a considerable drop in formability. Hydrogen atoms may get absorbed during steel-making and are known to get trapped at various sites in the lattice. When sufficient activation energy is made available, hydrogen atoms that are weakly trapped can diffuse towards critical regions in the microstructure, such as crack tips and voids, where one or more embrittlement mechanisms might be activated. On the other hand, a strongly trapped hydrogen atom remains immobile and plays no part in the embrittlement process. Precipitates of transition metals are known to be strong traps for hydrogen. It is speculated that by promoting the formation of strong traps in the microstructure, the amount of freely diffusible hydrogen can be limited, which would lead to an improvement in mechanical performance.<br/><br/>In this work, a combined ab-initio - experimental approach was used to study the absorption of hydrogen in dual-phase steel. Density Functional Theory (DFT) calculations were employed to study and compare the trapping of hydrogen by carbide and nitride of titanium and vanadium. A carbon or nitrogen vacancy in the bulk of the precipitate was found to be the most efficient trap site. When coupled with the vacancy formation energy, trapping was found to be more efficient in off-stoichiometric vanadium carbide and nitride than that in titanium carbide and nitride. To validate the theoretical findings, cyclic voltammetry experiments were conducted on two grades of DP800 steel with different concentrations of vanadium and titanium. The amount of diffusible hydrogen in the vanadium grade was found to be approximately 25 \% higher than that in the titanium grade. This was in contradiction to the theoretical results. Characterisation of the specimen post testing revealed that an oxide film had formed on the sample surface and while the film on vanadium grade was uniform and dense, that on titanium grade was sparse and irregular. It was evident that the oxide layer contributed to trapping of hydrogen, however the amount of hydrogen trapped by the oxide could not be specified. Overall, designing steels resistant to hydrogen embrittlement by promoting the formation of precipitates of a particular element is theoretically attainable, however, it was not possible to obtain experimental validation with the method employed.","Cyclic voltammetry; Density Funtional Theory; hydrogen embrittlement","en","master thesis","","","","","","","","","","","","Materials Science and Engineering","",""
"uuid:505123cb-125b-4877-a159-94f8d49c58e6","http://resolver.tudelft.nl/uuid:505123cb-125b-4877-a159-94f8d49c58e6","PUNet: Temporal Action Proposal Generation with Positive Unlabeled Learning using Key Frame Annotations","Zia, Noor ul Sehr (TU Delft Electrical Engineering, Mathematics and Computer Science)","van Gemert, J.C. (mentor); Kayhan, O.S. (graduation committee); Delft University of Technology (degree granting institution)","2020","A good action proposal method should generate proposals with high recall and high temporal overlap with groundtruth. The quality of the proposals relies on the labeled data available during training. Obtaining labeled data for untrimmed videos is a time consuming, expensive and error-prone task. The labels obtained are also subjective and the temporal bounds are inconsistent between different human annotators. We propose using a single key frame label for each action instance instead of the start and end point labels to generate temporal proposals. This reduces the number of labeled action frames in the dataset leading to class imbalance. To overcome this, we replace the learning setting with a PU-learning setup. We demonstrate that using key frames as labels give high quality proposals and yield results comparable to using full annotations while being faster to annotate as the exact temporal bounds no longer need to be annotated. We evaluate our method on THUMOS'14 and ActivityNet v1.2 dataset. Further experiments indicate that by combining existing action classifier on our proposals, our method is able to achieve high mean average precision (mAP) for action localization.","Deep Learning; Action localization; Computer vision","en","master thesis","","","","","","","","","","","","","",""
