"uuid","repository link","title","author","contributor","publication year","abstract","subject topic","language","publication type","publisher","isbn","issn","patent","patent status","bibliographic note","access restriction","embargo date","faculty","department","research group","programme","project","coordinates"
"uuid:29d7a398-675c-42a0-bf45-9fe9b0f63ccf","http://resolver.tudelft.nl/uuid:29d7a398-675c-42a0-bf45-9fe9b0f63ccf","A fundamental study on mechanical & physical properties of polymer-modified self-healing mortars using bacteria","Labib, D.A.","Pareek, S. (mentor); Jonkers, H.M. (mentor)","2012","A polymer-modified self-healing mortar is a mixture of Portland cement, water, sand, polymer and self-healing material. The polyacrylic ester emulsion (PAE) is used as polymer and as self-healing material bacterial spores from genus Bacillus + calcium lactate is used. The reason why this type of bacteria is used as a component of self-healing material is because of the high alkaline environment inside the mortar. A mortar has a pH value of between 9 and 11. As far as known, only this kind of bacteria can be used as a self-healing agent for mortars. Why a polymer-modified self-healing mortar? This polymer- modified self-healing mortar has an autonomous self-healing mechanism with, a high workability, a high flexural strength and also a high adhision. The experiments that has been performed in this study show that a polymer- modified self-healing mortar is a strong material with and active self-healing. This bacterial self-healing mechanism can heal cracks up to 0.46mm in contrast to the autogenous self-healing (of conventional mortar) of cracks up to 0.18mm. Beside this the fresh mortar showed a high workability. These properties make the polymer-modified self-healing mortar a strong and a more durable mortar. This concept can also be used to produce polymer-modified self-healing concrete.","self-healing; bacteria","en","bachelor thesis","","","","","","","","","Civil Engineering and Geosciences","Materials and Environment","","","",""
"uuid:6f4a55cc-e40e-40c8-af0f-8222a72c43b4","http://resolver.tudelft.nl/uuid:6f4a55cc-e40e-40c8-af0f-8222a72c43b4","Digitally Controlled Oscillator for WiMAX in 40 nm","Tavakol, A.","Staszewski, R.B. (mentor); Verwaal, F. (mentor)","2012","This document describes the design and implementation of a digitally controlled oscillator for WiMAX application in 40 nm. This system contains two main blocks of an LC oscillator with a digitally controlled capacitor bank and a frequency-dividing chain containing frequency dividers with different division ratios and a frequency doubler to cover two frequency bands of WiMAX.","DCO; frequency divider; WiMAX; LC Oscillator; ADPLL","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Electrical Engineering","","Micoelectronics","",""
"uuid:57e6c504-8506-456f-88bf-b57c1b8288da","http://resolver.tudelft.nl/uuid:57e6c504-8506-456f-88bf-b57c1b8288da","A global scale intervention, A local scale integration: Developing the empty course grains of Tehran South","Mehryar, S.","Read, S.A. (mentor); Hermans, W.J.A. (mentor); Mashayekhi, A. (mentor)","2012","“While it is important to identify world cities, it is also important to identify the lack of connectivity. Silences are as interesting as utterances. They tell us much about the process of globalization.” (Short, 2008) Silences refer to the cities whose connectivity is less than that predicted by their population, and they are called Black holes. According to R.Short explanation, Tehran, Baghdad and Pyongyang are among those cities which have an ideological resistance of being connected to the global system because of their religious or politics beliefs. But on the other hand, the economic role of Tehran in Islamic Financial Services (IFS) among the Islamic countries and the geo-political and social role of Tehran in the Middle Eastern countries show us a new aspect of globalization which has never been mentioned in the recent recognized literature. Maybe it is now the time to shift our analysis to the Middle East countries which have been the victim of the hegemonic world city imagination highlighted by Massey (2007). Moreover, Tehran municipality is now at a crossroad in its spatial development. “Making Tehran a Global city” is one of the seven main aims of its last master plan. In this regard, creating a “world trade centre” in Southern part of the city has introduced as an action project contributing in achieving this goal. The problem deal with this project is about the concept and location of the project. The southern part of city of Tehran has faced an uneven development through its growth history. This trend has resulted to an obvious division and polarization between North and South socially and spatially. Consequently, south part of Tehran is now full of left-over post-industrial areas which are like voids among new urbanized parts. The main question of this thesis project is that how can the empty coarse grains of south contribute in creating a balance between the north and south in global scale and its integration to the centre in local scale?","Globalisation; IFS; Urban Coarse Grains; Equal development; CBD","en","master thesis","","","","","","","","","Architecture","Urbanism","","","",""
"uuid:47844e60-3c4a-4792-9836-e8979007e32f","http://resolver.tudelft.nl/uuid:47844e60-3c4a-4792-9836-e8979007e32f","Shifting trajectories: Construct Urban Strategies to Restructure Mumbai’s Main Centralities and their Functional Relationships to Facilitate the Development of Metropolitan Hinterlands","Kabali, H.P.","Read, S.A. (mentor); Hermans, W.J.A. (mentor)","2012","The project attempts to develop a strategic proposal through urban framed technique which structurally address the scalar increase of Mumbai megacity and its unequal opportunities. The result is to establish an integration of urban-business environments through Hi-speed infrastructures and therefore, reconfigure development towards hinterlands-region. This thesis is a morphological research into Mumbai’s urban centres focused on the changing roles of the central business districts, their connectivity and the behavior of the city towards its hinterland region, situated in the age of rapid urbanization and metropolitan expansion. Mumbai is the financial capital of India and an alpha city (see figure 3) owing to its increased corporate presence in the global economic networks (Grant and Nijman, 2002). As a ‘Gateway City’ Mumbai is changing at a fairly rapid pace of urban restructuring necessitated by its present day urban structure as a large metropolitan center (Sita, 2008). The population of Mumbai Metropolitan Region is expected to increase from 19.0 million in 2007 to 26.4 million in 2025 (UN Secretariat, 2007). The main background of this graduation project explores the various urban development processes of Mumbai in different-scales of the city, metropolis and region aimed at restructuring the growth of city mainland (see figure 2) towards the hinterland region. It is a specific study on the effects of historical transformations on the city structure from an infrastructural point of view to explore the spatial consequences. The problem deals with the notion of five main centralities in Mumbai, namely Fort-Nariman Point, Bandra-Kurla Complex, Thane, Vashi and Panvel, wherein each is a different reality in itself and the south CBD remains the dominant source of most employment activities. The problem statement is formulated based on the lack of metropolitan integration between the urban centres, which has an enormous impact on the infrastructure of the city, causing overstressed transportation, congestion of the inner city and further lacks new development opportunities for city growth. (described in detail in the next sections). The research objectives and questions are framed based on these challenges which engage Mumbai as an emerging global city positioned in different scales. The space of present Mumbai needs new development strategies and tools, adequately supported by physical infrastructure to reconfigure city growth towards hinterlands and to make the urban centres work together. Therefore, the context of this thesis is twofold; the first researches the role of Mumbai as an emerging global city and the second researches its poly-centric structure. The project focuses on delivering a spatial proposal for a strategic development plan for the twin cities of Mumbai and Navi Mumbai by the addition of a new development axis, and a design test incorporating the idea of different-scales. The axis is a ring which circles the twin cities and integrates the centralities by the addition of a new High-speed public transportation layer to balance urbanization across the peninsula-region.","Transformation; Centralities; Scales; Integration; Congestion; Transportation; Relations; Development; Hi-speed","en","master thesis","","","","","","","","","Architecture","Urbanism","","Complex Cities and Regions in Transformation","",""
"uuid:7c138428-1fa0-4f7a-a4b5-8d5fb7e5ebac","http://resolver.tudelft.nl/uuid:7c138428-1fa0-4f7a-a4b5-8d5fb7e5ebac","Model for gas sweep with foam","De Velde Harsenhorst, R.M.","Rossen, W.R. (mentor)","2012","In this BSc-thesis a Surfactant-Alternating-Gas (SAG) foam displacement is represented by an idealized model. Shan and Rossen show in the article ‘Optimal Injection Strategies for Foam IOR’ (2004) that this model, though greatly simplified, is a useful representation of a foam displacement in the physical world, where pressure gradient is the most important factor in controlling gravity override. The process of building the model and numerical problems and solutions are discussed. The foam displacement is extended beyond the range computed by Shan and Rossen, to an dimensionless position XD of 4. The following cases are considered: kv = kh, 0<kv<kh and kv = 0. A comparison shows that the smaller the kv, the less convex the foam displacement front is. Ironically, in this case, increasing vertical permeability reduces the extent of gravity segregation of gas and increases vertical sweep.","foam; EOR; SAG","en","bachelor thesis","","","","","","","","","Civil Engineering and Geosciences","Geoscience & Engineering","","Petroleum Engineering","",""
"uuid:cd8b83ac-8231-4e91-ac8d-67fd757fe10b","http://resolver.tudelft.nl/uuid:cd8b83ac-8231-4e91-ac8d-67fd757fe10b","Frames","Barendse, B.B.J.","Van den Heuvel, D. (mentor)","2012","","living and working","nl","master thesis","","","","","","","","","Architecture","Dwelling","","@ home in the city","",""
"uuid:68f7e4a0-ab02-4c35-8bf4-3265fba45e6d","http://resolver.tudelft.nl/uuid:68f7e4a0-ab02-4c35-8bf4-3265fba45e6d","An Embedded Spatial Computing Platform for Interactive Environments","Karger, S.J.","Dulman, S. (mentor)","2012","The design of interactive environments has taken a leap in recent years. It has encountered issues similar to those faced before in distributed system: scalability, robustness, and complexity. We present an Embedded Spatial Computing platform for Interactive Environments. It makes use of research from the field of Computer Science and Embedded Systems to provide designers and architects with a platform that enables the use of rapid prototyping of interactive designs on embedded systems. We present the design and implementation of hardware and software for this platform. The platform is tailored to ProtoDeck, a floor consisting of 189 tiles equipped with RGB LEDs and pressure sensors. We have developed Cortex-M3 based nodes to control the tiles. The software platform enables the use of the Proto language by means of the DelftProto VM. It makes use of a real-time operating system for scheduling, handles both wired and wireless communication in the background, and features viral updating of applications. Evaluation of the platform shows the viability of using Spatial Computing techniques to progress the field of Interactive Environments. The platform proves capable of producing responsive and complex interactive behaviours in a fully distributed way.","Embedded Systems; Spatial Computing; Computer Science","en","master thesis","","","","","","","","","Electrical Engineering, Mathematics and Computer Science","Software Techonoly","","Embedded Software","",""
"uuid:7817bb9e-a803-42e7-a41b-8c26b370244a","http://resolver.tudelft.nl/uuid:7817bb9e-a803-42e7-a41b-8c26b370244a","Stacking Diversities in Rotterdam","Nouws, T.","Marzot, N. (mentor); Komossa, S. (mentor); Fokkinga, J. (mentor)","2012","This is my graduation design for the Public Realm studio Rotterdam. Rotterdam city centre lacks a clear identity of its own, compared to other dutch cities. To give Rotterdam a strong identity, and connect the existing fragmented identities, this design is proposed. On this location in the city centre the diversities of Rotterdam, and their spatial experiences, are stacked together to create a new highly 'Rotterdam' identity.","rotterdam; stacking diversities; public realm; public building; hybrid building","en","master thesis","","","","","","","","2012-07-31","Architecture","Architecture","","Public Realm Rotterdam","",""
"uuid:4a15f3cc-112a-4934-a257-340212a77db0","http://resolver.tudelft.nl/uuid:4a15f3cc-112a-4934-a257-340212a77db0","The new library in teh old city: University Library, Amsterdam","Miranda Martins, S.","Stuhlmacher, M. (mentor); Somers, D. (mentor); Mihl, H. (mentor)","2012","The proposal for a new University Library in the centre of Amsterdam aims to create a representational building that connects the academic community to the city (its daily routine, dwellers and visitors). The building's scheme focuses on the creation of indoors public space and consists on diverse types of spaces that relate to both public scale and local scale (the functioning related to the university).","library; public building","en","master thesis","","","","","","","","","Architecture","Interiors, Buildings and Cities","","University Library","",""
"uuid:75350a6d-04f1-48c9-90d2-50d2e7611340","http://resolver.tudelft.nl/uuid:75350a6d-04f1-48c9-90d2-50d2e7611340","Drainage Tubes versus Sediment","Ekkelenkamp, H.H.M.","Stive, M.J.F. (mentor); Walstra, D.J.R. (mentor); Olsthoorn, T.N. (mentor); Reedijk, J.S. (mentor)","2012","The study starts with possible working mechanisms of the tubes within the complex beach system. In addition, huge amounts of data are collected which tells us more about the sedimentology of the beach and soil structure. This data is used later on to study influenced beach processes and morphological change. For this study both the beach near Egmond aan Zee as the beach near Hvide Sande are looked at. At these coastal areas several drainage tube fields are installed. A large-scale mechanism is described which describes a hypothesis for the influence of the drainage tubes on the beach sediment. This mechanism consists of five possible processes that could be categorized into three groups: pressure changes, air ventilation and vertical transport of water. It starts with the flow of water through the tubes due to a continuous variation of the sea level. A starting point or ‘trigger’ could be the measured outflow of groundwater by Pieterse (2009). Water stored in the beach subsoil flows from the high water line to the low water line by a groundwater gradient. The drainage capacity of the tubes is largely determined by the outflow capacity of water. As the water chooses the path of least resistance the very permeable shell layers at Egmond aan Zee or gravel layers near Hvide Sande could increase the flow through the tubes. Levelling of the groundwater gradient increases the storage capacity of water in the beach. As the moisture level of the beach lowers, the beach becomes more dry in time. Aeolian transport increases which sorts the sediment at the beach. Fine grains are blown away along the coast and into the dunes. The beach becomes more stable.","sediment; ecobeach; drainage tubes; hugo ekkelenkamp; Egmond; Hvide Sande; NETICS; morfologie; morphology; korrelgrootte; groundwater","en","master thesis","","","","","","","","","Civil Engineering and Geosciences","Hydraulic Engineering","","Coastal Engineering","",""
