"uuid","repository link","title","author","contributor","publication year","abstract","subject topic","language","publication type","publisher","isbn","issn","patent","patent status","bibliographic note","access restriction","embargo date","faculty","department","research group","programme","project","coordinates"
"uuid:e5f1f9a1-1c51-4f83-8075-e8778cf9b772","http://resolver.tudelft.nl/uuid:e5f1f9a1-1c51-4f83-8075-e8778cf9b772","Urban Livability Research and a Pollution Emission Case Study in Delft","Du, Ximing (TU Delft Civil Engineering & Geosciences; TU Delft Transport and Planning)","Snelder, M. (mentor); de Clercq, G.K. (graduation committee); Delft University of Technology (degree granting institution)","2023","At present, many studies have begun to focus on evaluating urban accessibility and livability, which can be a series of great guidance for future urban planning considering residents’ personal perceptions of various living aspects. It can be observed from the existing literature that urban accessibility has a mature evaluation system, considering travel distance, trip purpose, travel time, individual’s perceived utility, and other constraints. However, the existing studies review urban livability from many very different directions, and no consolidated concept is proposed or concluded. This makes the evaluation of urban livability hardly provide a comprehensive understanding of the concept of urban livability. In this case, this additional research aims to propose a general framework describing the urban livability concept and its connotation. Besides, several indicators shall be selected from this framework to be quantified and calculated so that there could be a specific quantitative method for evaluating urban livability based on this framework.","Urban livability; Livability indicators; Pollution emission; Pollution diffusion; Simulation","en","student report","","","","","","","","","","","","Civil Engineering | Transport and Planning","",""
"uuid:5b58c519-94fd-4a21-b421-0bd7d5c0aac8","http://resolver.tudelft.nl/uuid:5b58c519-94fd-4a21-b421-0bd7d5c0aac8","Solving the Air Express Transportation Problem using a combined Route Construction Algorithm and Set-Partitioning Model approach","Hermans, Floris (TU Delft Aerospace Engineering)","Bombelli, A. (mentor); Delft University of Technology (degree granting institution)","2023","The demand in global trade of goods is thriving in the recent post-COVID times and is forecast to increase to the highest levels of the past decade. This calls for global transportation companies to implement increasingly efficient and highly optimized transportation processes to fulfill both demand and their need for economic and environmental sustainable solutions. This paper presents a combined route construction algorithm (RCA) and a set-partitioning model (SPM) formulation to solve the air express transportation problem (AETP). An optimal set of routes is selected to transport a set of shipments from origin to destination whilst minimizing the total transportation time for all shipments included. The set of shipments and a set of movements is gathered from a global air express courier. The combined model finds an improvement on the historical implementation by the courier for 24.9% of the shipments for which at least one feasible route is constructed. Four alternative approaches that match real-life strategies of an air express company are implemented. The number of shipments for which the model finds a feasible solution is increased by 9.9% by allowing late delivery of a shipment. The preference of air express companies to select historically implemented paths for specific origin destination pairs (od-pairs) is also implemented. Compared to the general implementation, the number of shipments following a historically implemented path increases by 12.3% using this adapted formulation. The degree of this real-life preference of historically implemented paths by air express companies can be varied using a bi-objective formulation of the SPM. Finally, a chance constrained formulation is included to assume the upper bound of the movement capacity based on the strategy of an air express company in terms of level of risk.","shipment; transportation; optimization; express courier","en","master thesis","","","","","","","","","","","","Aerospace Engineering | Air Transport and Operations","",""
"uuid:e674dd91-7854-487f-954a-1936fe697196","http://resolver.tudelft.nl/uuid:e674dd91-7854-487f-954a-1936fe697196","Monetizing Sommalife’s Social and Environmental Impact: Exploring opportunities for Sommalife to scale its impact and disturb the shea industry","Oomens, Willem (TU Delft Industrial Design Engineering)","Diehl, J.C. (mentor); Coelen, J. (mentor); Delft University of Technology (degree granting institution)","2023","Smallholder farmers in the Shea Industry live a challenging life. From lack of economic opportunities to climate change, if they are not helped their already troubling situation will worsen. Sommalife is a social startup who strives to sustainably improve the lives of rural farmers in West Africa by helping with production, protecting lands from deforestation dn having developed a software to improve operations. Sommalife has been successful at this to a small extent and has set the stage for an impactful act in West Africa. Sommalife currently does this with their own profits as the shea supply chain does not pay for impact at the moment. Without this support Sommalife will struggle to scale and improve its impact. Existing tools to monetize impact , such as Fair Trade, do not apply to the widespreadness of Sommalife’s operations and the poverty level of the farmers as their operations have high monitoring costs. <br/><br/>Fortunately, the world is changing and a demand from consumers for sustainable products is affecting industries. Industries with similarities to the shea industry like the cacao industry. Sommalife has an opportunity to monetize their impact by advancing the industry and attempting to address the consumers. This can be supported by opportunities to monetize their social and environmental impact through carbon credits and a form of storytelling driven by impact data. The climate projects are supported by partnerships and will provide additional social and financial benefits to communities, while also generating carbon credits. On the social side, Sommalife can monetize its impact through data-driven storytelling. This involves turning data into tangible narratives that build consumer trust and brand loyalty for Sommalife and its partners. In return Sommalife will expect these companies to pay an impact fee. <br/><br/>These services are by a brand strategy and roadmap to effectively execute and communicate Sommalife’s mission to drive change in the shea industry.","Impact; Sustainable development goals; Global South; base of the pyramid","en","master thesis","","","","","","","","","","","","Strategic Product Design","","10.060100, -2.509900"
"uuid:318ebd5f-1f23-4e56-9a33-890d80ada65a","http://resolver.tudelft.nl/uuid:318ebd5f-1f23-4e56-9a33-890d80ada65a","The Impact of Interstitial Air Pressure on Sand Acoustic Emissions in the Context of Mars Exploration","Perez, Paul (TU Delft Aerospace Engineering)","de Vet, S.J. (mentor); Ragni, D. (graduation committee); Avallone, F. (graduation committee); Delft University of Technology (degree granting institution)","2023","Desert sand acoustic emissions are produced when a “sonic sand” is sheared locally or by a natural dune slipface avalanche, resulting in a brassy sound between 50 and 400 Hz. This type of sediment exhibits particular granulometric, shape and surface characteristics, due to the grains’ erosion and transport history, and emits sounds when the sheared grain layer vibrates in a synchronized manner, much like the membrane of a speaker. Recording such sand acoustic emissions on Mars (and perhaps other planetary environments) using rover microphones could thus become a new form of observable for scientists to estimate the surface sediment’s characteristics and history from a distance, but also the granular flow dynamics taking place. To determine whether this approach could be viable in the future, it is essential to evaluate how the Martian environment may affect sand acoustic emissions differently than on Earth. After showing that the muted Martian soundscape would likely allow rovers to detect such signals from a few tens of meters, the present thesis studies the impact of the interstitial air pressure within the sand bed on the sound emission mechanism of such sonic desert sands.<br/><br/>In this project, silent and sonic desert sand shear flows are induced under a range of pressure levels, from terrestrial ambient pressure to Mars-like pressure, within two separate, manually operated vacuum chamber setups: a smaller chamber shaken to create the sounds, and another longer chamber that better replicates avalanche-like sand flows. The motion applied and sound produced are measured using an accelerometer and a microphone inside the chamber. Metrics in the time and frequency domains are defined to analyse the changes in sound energy, amplitude, and frequency components produced at different pressure levels. Firstly, the silent sand tests are used to establish how the air pressure level within the experimental setup affects the regular sound of sheared sand (i.e. grains impacting one another) and more generally the sound emission of “normal” sounds, whose emission mechanisms do not depend on grain packing and synchronized motion. Then, a simplified theoretical model of how the sound pressure level (SPL) of a sound evolves with decreasing acoustic impedance, is derived and validated using the silent sand measurements performed. Finally, the sonic sand measurements are compared to the SPL model and silent sand measurement results, which are used as a baseline for nominal sound production behavior, to evaluate how the interstitial air pressure affects the amplitude and signal energy of the sheared sonic sand emissions. Furthermore, differences in the sand acoustic emissions’ frequency spectra and time duration across pressure levels provide information about the possible physical changes occurring in the granular flow dynamics of the sheared sonic sand.<br/><br/>In both experiments, the dominant frequency very closely follows the trend of the motion metrics used, as described in the literature, and remains very consistent across pressure levels. This suggests that the maximum sheared sonic sand layer thickness is independent of the interstitial air pressure. Then, the sonic sand emissions see an increase in the sound amplitude and signal energy related metrics from ambient pressure to 413.25 mbar, unlike the gradual decrease predicted by the SPL model and the trend of silent sand measurements with decreasing pressure. Below 413.25 mbar, the results suggest a stabilized behavior, with the acoustic metrics of the emissions following the model. Furthermore, in the avalanche-like emissions, a new frequency component slightly higher than the dominant frequency emerges as the chamber pressure decreases. These observations are evidenced in the time-domain, where the sand acoustic emissions seem to initiate earlier in the granular flow at 413.25 mbar and below, resulting in greater acoustic pressure levels being produced, compared to those at terrestrial pressure. It is hypothesized that more sheared sonic sand grains synchronize at 413.25 mbar and below (compared to terrestrial air pressure), and thus increase the amplitude of the sound wave produced. For avalanche-like flows, the new frequency component that appears with decreasing pressure level seems to suggest that the minimum sheared layer thickness threshold required to produce an emission is lowered at lower pressure, which leads to a higher frequency produced initially until the full layer forms, ultimately decreasing the frequency. Further research is required to confirm these preliminary findings and theories.","sand acoustic emissions; Mars; Planetary acoustics; sediment characterisation; booming dunes","en","master thesis","","","","","","","","","","","","Aerospace Engineering","",""
"uuid:2f7d7a7e-31ef-4e01-a00a-af90bce1ffda","http://resolver.tudelft.nl/uuid:2f7d7a7e-31ef-4e01-a00a-af90bce1ffda","Uncovering the vulnerable: Exploring the issue of TCP reflective amplification in the network of an ISP","Oortwijn, Joost (TU Delft Technology, Policy and Management)","Hernandez Ganan, C. (mentor); van Wegberg, R.S. (mentor); De Stefani, J. (mentor); Delft University of Technology (degree granting institution)","2023","The rapid growth of internet-connected devices has led to a significant increase in the number of cyber attacks, resulting in security challenges related to IoT. Researchers have discovered a new attack technique that can be used for launching large DDoS attacks, which involves TCP reflective amplification by abusing middleboxes and IoT devices. In order to assist Internet Service Providers (ISP's) in mitigating this vulnerability present at their customers, a deeper understanding of this novel attack technique is needed. <br/> The thesis primarily focuses on exploring vulnerable devices and their end-users within the consumer network of a Dutch ISP, KPN. The ultimate goal is to gather more information on the types of vulnerable devices and actors involved to eventually assist an ISP in making informed decisions to remediate the vulnerability in their network.<br/>The study found that the problem can be described in two different issues: vulnerable middleboxes and vulnerable consumer IoT devices with broken TCP protocols. The problem of vulnerable middleboxes has been solved in the network of the Dutch ISP as manufacturers have released updates remediating the vulnerability. This is not the case for vulnerable consumer IoT, as updating consumer IoT devices does not necessarily address the vulnerability present in the devices that have been identified. However, vulnerability notifications can potentially be useful for end-users to encourage them to update their vulnerable devices.<br/>The study highlights the presence of vulnerable devices in the ISP network that cannot be remediated by updating the device due to the unavailability of a fix. This calls for the exploration of alternative notification methods like walled garden notifications for ISP's to address the issue as mail notifications seem not feasible at the moment of writing. While updating devices is a suggested solution, it may not be feasible for end-users with vulnerable consumer IoT devices, making it crucial for manufacturers to ensure their products have secure TCP protocols. While end-users are motivated and capable to keep their vulnerable devices up to date, whether or not they receive a vulnerability notification from their ISP, this action alone will not fully address the vulnerability as long as manufacturers remain unaware of the issue or fail to provide updates to remedy it.<br","IoT; DDoS; Computer security; End-user behaviour","en","master thesis","","","","","","","","","","","","Engineering and Policy Analysis","",""
"uuid:61c3a72d-649d-4909-ac57-3f16f56c6411","http://resolver.tudelft.nl/uuid:61c3a72d-649d-4909-ac57-3f16f56c6411","Design of a groundwater-based Model Predictive Control algorithm for the operation of water table control systems: A proof of concept","Romeijn, Noortje (TU Delft Civil Engineering & Geosciences)","van Nooijen, R.R.P. (mentor); Bakker, M. (graduation committee); Dekens, Bart (graduation committee); Delft University of Technology (degree granting institution)","2023","Rapid discharge of excess water has always been the core of Dutch water management. Due to climate change, a change in strategy is required. A future-proof drainage strategy consists of three steps: 1) retention, 2) storage, and 3) controlled removal. This thesis comprises the design and evaluation of an algorithm for groundwater-based Model Predictive Control (MPC) of water table control systems in polder areas. The objective is to maximize retention of precipitation, thereby contributing to the first component of the new drainage strategy. The control algorithm is developed for water table control on a single plot surrounded by a ditch, and three variants of water table control systems are considered: 1) water table control without drains, 2) water table control with submerged drains, controlled by ditch water level, and 3) water table control with submerged drains, controlled by sump water level. As a first approach, a relatively high, fixed setpoint is applied to maximize retention of precipitation. The controller adjusts the crest level of a weir that manages the ditch or sump water level. The algorithm performance is assessed through model simulations for two case study areas with distinct geohydrological response times within the management area of Hoogheemraadschap van Rijnland: 1) Polder Het Langeveld, a sandy polder located in the Flower Bulb Region, and 2) Polder Vierambacht, a clayey polder located in the Green Heart. Groundwater-based MPC anticipates precipitation events. Since the forecast horizon for which accurate precipitation forecasts are available is restricted, the feasibility of groundwater-based MPC is dependent on the response time of the groundwater system. Systems with a fast groundwater response are not suitable for water retention, while proper groundwater table control is possible. Control of systems with long system response times is hard, but these systems are applicable for water storage. A trade-off between controllability and water storage should thus be made. For the applied weir settings and objective function, a system response time lower than 10 days is required for proper control. Direct control of groundwater levels could induce a certain groundwater storage or water retention, depending on the applied setpoint.","Model Predictive Control; Water table control; Groundwater modelling; Optimal control; Water Resources Management","en","master thesis","","","","","","","","","","","","Civil Engineering","",""
"uuid:742b476f-a356-43b9-88bb-7b4b4fa77106","http://resolver.tudelft.nl/uuid:742b476f-a356-43b9-88bb-7b4b4fa77106","Mitigation of small space debris","Carceller Suarez, Patricia (TU Delft Aerospace Engineering)","Noomen, R. (mentor); Delft University of Technology (degree granting institution)","2023","Space debris fragments smaller than 10 cm cannot be tracked from Earth and are generally neglected in conjunction and risk analyses because of this. However, these fragments pose a great threat, as they can lead to collisions. Currently, the threat that space debris poses on the space environment is getting larger, so methods to mitigate said debris need to be explored. The technique that was studied here, consisted of a passive spacecraft with a circular cross-sectional surface of a material, such as aerogel or foam, with the ability to decelerate and catch the debris fragments encountered. Given this choice, a capture analysis was carried out for such a potential technique. It was concluded, that the most favorable orbital settings for such a method, would be in the case of an explosion of an active or defunct spacecraft, as a direct reaction device. This scenario was then simulated using the orbital parameters of the Kosmos 1408 anti-satellite missile test. The results showed that for a spacecraft with a collector radius of 20 meters, 2 to 3% of the newly created fragments were caught, whereas, for a larger spacecraft with a radius of 100 meters, that number increased to up to 12%. The ideal deployment time for a spacecraft of 20 meters radius was found to be 12 hours after the fragmentation, whereas for 100 meters it was 6 hours. It was found that the capability of such a method is highly dependent on the catcher size, whereas deployment time has a smaller impact. Moreover, it was concluded that the performance of this technique is very sensitive to injection inaccuracies, as the number of fragments caught would be close to zero.","","en","master thesis","","","","","","","","","","","","Aerospace Engineering","",""
"uuid:ccb49c4f-cd7e-41a5-87de-29c5b077be27","http://resolver.tudelft.nl/uuid:ccb49c4f-cd7e-41a5-87de-29c5b077be27","Small-world and ultrasmall-world phenomena in kernel-based spatial random graphs","Jonker, Stan (TU Delft Electrical Engineering, Mathematics and Computer Science)","Komjáthy, J. (mentor); Kraaij, R.C. (graduation committee); Bishnoi, A. (graduation committee); Delft University of Technology (degree granting institution)","2023","In this thesis, we examine the kernel-based spatial random graph (KSRG) model, which is a generalisation of many known models such as long-range percolation, scale-free percolation, the Poisson Boolean model and age-based spatial preferential attachment. We construct a KSRG from a vertex set V = Z^d, assigning each vertex v ∈ V a weight Wv according to a power-law with parameter τ − 1 and connecting each pair of vertices conditionally independently according to<br/>P(u ↔ v|Wu,Wv) = Θ(1 ∧(max {Wu,Wv}^(σ1) min {Wu,Wv}^(σ2)/|u − v|^d))^α. <br/>Our first contribution is to show that, under certain choices of the parameters σ1, σ2, τ and α, the graph distance is at most poly-logarithmic or at most doubly logarithmic when compared to the spatial distance. Furthermore, the parameters σ1 and σ2 allow for extra degrees of freedom when compared to the models mentioned earlier, which yields a new exponent for poly-logarithmic distances and a generalised constant for doubly logarithmic distances. Our second contribution lies in the techniques used to prove these results. In particular, we show that with probability tending to 1 there is a subset of vertices that behaves pseudo-randomly with regards to the expected amount of vertices with a given weight in any radius. The presence of this subset, which we call a net, allows for the avoidance of the use of FKG-like inequalities in proofs. Primarily, it allows us to reveal all relevant weights in advance, which allows us to disregard many correlations that we would otherwise need to take into account during construction of paths.","Random Graph; Spatial random graphs; Small-world phenomenon; Ultrasmall-world phenomenon; Long-range percolation; Scale-free percolation","en","master thesis","","","","","","","","","","","","Applied Mathematics","",""
"uuid:1bd78f94-419b-4228-8a79-4b43a408bd23","http://resolver.tudelft.nl/uuid:1bd78f94-419b-4228-8a79-4b43a408bd23","Decision Support Tool for Time-Based Separation under Fixed Approach Trajectories in Approach Control: Increasing the Efficiency of Approach Control","van Selling, Stijn (TU Delft Aerospace Engineering)","Borst, C. (mentor); Mulder, Max (mentor); van Paassen, M.M. (mentor); Dijkstra, F. (mentor); de Rooij, G. (mentor); Delft University of Technology (degree granting institution)","2023","The Dutch Air Traffic Control has implemented fixed approach trajectories within approach control during night operations when traffic density is low. During the day, when traffic density is higher, vector-based operations are used. The Dutch Air Traffic Control aims to implement fixed approach trajectories when traffic density is high. This shift from the current vector-based operations will allow aircraft to perform a continuous descent and fly around inhabited areas, reducing the emissions and noise. To improve the capacity of the landing runway in strong headwind conditions, time-based separation is envisioned. Separating aircraft on time will result in a constant runway capacity in all wind conditions. However, to make these changes possible, additional decision support tools are required to assist controllers and reduce their workload. This paper discusses the use of a new toolset, centered around a time-space diagram which shows the expected arrival time and distance-to-go to a selected reference waypoint. Results of an experiment with eight professional air traffic controllers show that the added tools allowed future conflicts to be solved sooner and with fewer instructions. Aircraft followed the fixed approach trajectories better in the latter stages of the approach when compared to current vector-based operations. Although a slight increase in runway capacity was observed with the new toolset, it was not statistically significant. The workload of the controllers did not show a difference when using the new toolset. In conclusion, the added tools enabled the controllers to combine fixed approach trajectories with time-based separation. However, to reduce perceived workload, future designs should aim to integrate the time-space diagram on the main radar screen such that controllers do not need to switch attention between screens.","Air Traffic Management; Time-Based Separation; Fixed Approach Trajectories; Air Traffic Control; Decision Support Tool; Time-Space Diagram","en","master thesis","","","","","","","","2025-04-13","","","","Aerospace Engineering","",""
"uuid:b60d4b92-da7a-4fdb-bac4-2339f2105bdc","http://resolver.tudelft.nl/uuid:b60d4b92-da7a-4fdb-bac4-2339f2105bdc","Spanwise forcing for turbulent drag reduction: An experimental investigation into active and passive flow control","Knoop, Max (TU Delft Aerospace Engineering)","van Oudheusden, B.W. (graduation committee); Schrijer, F.F.J. (mentor); Delft University of Technology (degree granting institution)","2023","Turbulent drag reduction (DR) is a crucial research area, as this can contribute to significant energy and emission reductions in various industrial and transportation applications. One such technique is the active flow control method of spanwise forcing. Spanwise forcing introduces a spatio-temporal spanwise wall oscillation as a boundary contrition. Consequently, a phase-varying spanwise velocity profile is generated, that poses useful interaction with the near-wall turbulence resulting in a drag-reduced flow state. DR values of over 40% have been found in both numerical and experimental realisations.<br/><br/>The objective of this thesis is twofold. Firstly, the idea is proposed that spanwise forcing can be realised passively by geometric surface modifications to create a spatially varying spanwise velocity profile. Secondly, supporting the first objective is the idea of investigating active flow control, in this case spatial spanwise forcing, which can aid in the development of passive techniques. The underlying philosophy is gaining understanding of the key factors and mechanisms that contribute to DR by studying active techniques. Subsequently, these leanings can be applied to advance the development of passive techniques. This research rationale is combined with a new pathway for turbulent DR. By actuating the outer-scaled low-frequency turbulent structures in the logarithmic layer, instead of the conventional approach targeted at high-frequency inner-scaled structures. Unlike the decreasing trend observed in inner-scaled actuation (ISA), outer-scaled actuation (OSA) exhibits a positive correlation between DR and Re<sub>τ</sub>, making it particularly useful for practical applications that operate under high Reynolds number conditions, such as long-distance pipelines or aviation.<br/><br/>The first part of the thesis investigates the DR and OSA potential of passive techniques. Three techniques are considered: dimples, sinusoidal undulations and oblique wavy walls. Eight test plates are realised for direct force measurements and a detailed investigation into the scale-specific streamwise turbulence kinetic energy using hot-wire anemometry (HWA). From the direct force measurements, the DR trends with Re<sub>τ</sub> are inconclusive due to uncertainties originating from a correction term and the results falling within the 95% confidence interval. A slight reduction of outer-scaled energy is observed for the sinusoidal undulations, hinting at effective OSA. Furthermore, one of the oblique wavy walls shows a broadband energy reduction in the wall-normal region 10 ≤ y<sup>+</sup> ≤ 100.<br/><br/>The second part of the thesis is focused on active flow control, specifically, the method of spatial spanwise forcing. A research gap was identified for spatial forcing, with no experimental realisations to date and only a number of numerical studies. Furthermore spatial forcing is of interest since it shows the closest analogy to a passive counterpart. An experimental setup is proposed, titled the steady spanwise excitation setup (SSES). The experimental setup realises spatial forcing using a series of spanwise running belts that run in alternating spanwise directions so as to generate a spatial square wave forcing. The thesis presents a proof of concept of the aerodynamic working using a prototype setup with four belts. Stereo particle image velocimetry (PIV) measurements showt hat a significant flow control effect can be realised with this type of forcing, with a maximum DR value over 39%. Accordingly, the turbulent stresses are significantly reduced. The spanwise velocity profiles are in qualitative agreement with the model based on the laminar solution, with an almost exact match at y<sup>+</sup> ≤10.<br","Turbulent drag reduction; Spanwise forcing; Outer-scaled actuation; Experimental study; Flow control","en","master thesis","","","","","","","","2025-04-13","","","","Aerospace Engineering","",""
